345,391,416,435,417,410,406,402,392,380,370,364,354,348,349,350,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,432,431,484,433,434,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,437,487,438,488,504,439,440,491,442,443,492,444,446,447,403,393,394,381,383,375,0,0,0,0,0,0,0,0,0,0,0,0,0
407,489,490,441,493,445,495,449,450,451,453,454,497,418,498,456,459,466,421,471,422,408,386,366,352,330,308,0,0,0,0,0,0,0
411,494,448,496,452,455,499,457,461,462,412,463,464,467,420,470,473,423,477,425,413,387,355,337,314,0,0,0,0,0,0,0,0,0
500,460,465,469,472,475,501,502,476,478,480,424,481,428,430,409,388,368,340,320,305,285,0,0,0,0,0,0,0,0,0,0,0,0
363,419,458,468,474,479,503,426,427,414,429,415,404,395,389,378,369,358,342,315,299,290,0,0,0,0,0,0,0,0,0,0,0,0
327,347,371,372,382,384,385,376,377,373,374,367,365,356,357,341,338,331,324,316,309,300,291,275,266,256,251,240,0,0,0,0,0,0
336,328,323,319,312,304,298,289,280,281,274,265,255,252,246,233,228,229,225,224,216,209,202,201,507,0,0,0,0,0,0,0,0,0
293,279,261,244,238,239,222,223,215,199,200,191,182,183,184,180,168,170,171,172,169,167,166,505,506,0,0,0,0,0,0,0,0,0
272,237,206,190,175,176,143,138,131,133,126,111,112,113,101,102,114,115,116,117,118,119,120,128,135,141,156,179,0,0,0,0,0,0
307,271,248,220,187,142,107,97,75,70,62,51,43,52,44,45,47,54,48,57,58,67,73,74,80,81,82,91,92,103,127,140,0,0
277,254,210,147,86,60,40,33,17,18,8,10,12,13,14,15,20,21,27,37,46,55,56,65,66,78,79,100,139,0,0,0,0,0
259,193,136,94,69,39,22,24,16,1,2,6,3,7,4,9,11,19,26,36,42,53,63,64,72,77,99,110,134,0,0,0,0,0
287,247,204,157,122,104,68,59,49,38,28,29,23,25,30,31,32,34,35,41,50,61,71,76,90,109,125,132,155,165,0,0,0,0
326,284,258,235,203,185,145,146,129,121,105,106,93,95,83,84,85,87,88,89,96,98,108,123,124,130,137,144,164,178,0,0,0,0
295,276,257,241,234,217,218,192,186,181,173,158,174,159,160,161,148,149,150,151,152,153,154,162,163,177,0,0,0,0,0,0,0,0
360,333,321,310,294,286,282,283,267,268,262,253,242,243,236,230,231,226,219,211,205,194,195,188,189,196,197,198,207,208,250,245,509,508
359,353,343,344,332,325,317,318,301,292,288,278,269,270,263,264,260,249,232,227,221,212,213,214,0,0,0,0,0,0,0,0,0,0
339,361,401,400,398,396,399,405,397,390,379,362,346,334,335,322,311,306,302,303,296,273,0,0,0,0,0,0,0,0,0,0,0,0
