371,385,399,414,419,429,430,442,437,443,444,445,456,458,457,461,460,459,462,463,446,464,421,422,425,424,423,433,432,466,465,480,0,0,0,0,0,0,0,0,0,0
347,348,349,361,373,374,375,376,377,388,378,389,411,420,438,447,491,492,498,497,506,505,504,516,515,535,534,533,542,552,526,502,496,485,490,495,0,0,0,0,0,0
341,395,417,455,488,494,521,501,514,540,523,524,525,541,527,529,528,530,531,532,562,577,576,590,589,588,597,587,586,575,585,574,561,551,0,0,0,0,0,0,0,0
394,407,440,478,499,520,548,558,572,593,594,603,604,605,606,611,612,613,607,614,630,632,631,646,640,639,641,634,633,622,615,596,583,584,560,550,522,513,489,436,0,0
332,483,510,518,570,579,600,601,609,620,626,627,628,635,636,637,642,643,647,648,644,645,638,629,621,595,582,573,549,539,493,659,657,0,0,0,0,0,0,0,0,0
610,602,592,581,571,559,538,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,428,486,509,544,556,578,591,598,599,608,616,617,618,619,624,623,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,416,481,508,507,517,536,543,553,554,563,564,555,565,566,567,568,569,545,546,547,537,519,511,500,487,484,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,380,392,400,404,412,427,426,434,439,448,449,450,467,469,468,470,471,472,473,482,451,474,452,453,475,476,477,454,479,441,435,0,0,0,0,0,0,0,0,0,0
289,310,323,306,322,321,331,339,343,353,344,354,345,355,356,357,366,358,367,359,369,381,382,393,397,398,401,406,402,408,413,409,410,403,655,0,0,0,0,0,0,0
240,232,215,197,196,214,211,213,212,230,229,231,235,236,237,238,239,249,250,265,251,266,267,268,282,293,294,307,311,324,333,340,360,370,384,418,0,0,0,0,0,0
292,170,162,290,291,158,139,130,121,123,120,114,115,122,124,131,132,140,141,142,143,159,163,164,171,177,181,184,191,198,217,216,241,257,275,295,312,313,334,346,653,656
144,125,102,96,87,71,65,64,53,52,44,46,45,56,55,54,57,58,66,67,72,73,82,97,98,110,127,133,145,165,172,182,192,218,243,259,276,296,325,335,650,0
126,109,68,59,47,30,20,14,9,10,15,11,16,21,22,23,31,32,49,61,74,88,99,103,104,112,128,146,166,178,193,220,252,297,649,651,0,0,0,0,0,0
111,60,48,33,17,12,5,1,6,2,3,4,7,8,13,18,24,34,35,42,62,70,76,89,105,117,116,148,168,174,185,200,244,260,283,0,0,0,0,0,0,0
100,75,69,50,41,40,36,25,26,27,19,28,29,37,38,39,43,51,63,84,93,108,118,135,151,169,179,186,221,253,278,298,336,652,0,0,0,0,0,0,0,0
147,134,106,107,90,91,92,83,77,78,79,80,81,85,86,94,95,101,113,119,138,156,155,160,175,180,188,222,233,262,271,284,314,337,350,372,654,0,0,0,0,0
173,167,149,150,152,136,137,153,154,157,161,176,183,189,190,195,208,210,228,209,227,226,246,245,254,263,274,285,299,315,326,0,0,0,0,0,0,0,0,0,0,0
258,242,219,199,201,202,203,204,194,206,223,225,234,247,248,255,256,264,281,320,304,287,286,305,288,303,302,319,309,318,330,317,329,316,328,327,338,342,351,362,0,0
277,269,261,270,272,273,279,280,300,387,386,301,308,391,364,352,365,363,379,390,396,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
