84,70,49,39,42,41,58,63,78,82,88,91,106,118,129,128,140,147,154,0,0,0,0,0,0
55,30,25,19,18,24,27,34,38,46,51,61,71,77,87,97,102,113,121,136,153,165,180,0,0
29,20,15,8,7,5,14,12,23,36,45,50,67,81,95,108,126,152,170,192,203,219,410,0,0
54,28,17,6,3,2,1,4,9,16,26,32,44,60,75,90,111,134,164,186,208,0,0,0,0
13,11,10,22,21,31,43,56,65,74,93,117,151,179,205,217,243,411,0,0,0,0,0,0,0
33,37,35,40,48,57,66,80,94,133,159,178,196,214,229,242,409,413,0,0,0,0,0,0,0
53,47,52,62,69,68,76,86,96,105,112,135,146,160,173,187,206,218,233,246,263,0,0,0,0
72,85,98,114,119,137,155,161,174,188,197,215,222,236,248,247,264,272,281,290,297,307,414,412,0
99,103,115,138,157,181,198,209,223,237,253,265,273,291,298,308,312,311,321,320,329,0,0,0,0
123,139,162,183,210,224,244,254,267,276,294,303,314,323,330,337,346,345,343,356,354,342,0,0,0
131,143,171,212,235,258,287,295,326,339,349,361,370,382,380,379,394,392,378,376,375,366,355,0,0
148,169,200,216,231,260,278,296,317,333,352,362,372,371,387,398,397,407,405,403,402,393,391,377,357
149,195,232,240,261,289,319,334,341,365,374,390,401,400,399,408,406,404,396,395,367,344,0,0,0
185,227,255,280,310,328,335,353,364,363,373,389,388,386,385,384,383,381,369,368,358,0,0,0,0
132,150,177,202,228,241,252,262,279,288,306,305,318,327,332,340,351,350,348,360,359,347,338,336,0
120,145,158,172,191,201,213,226,225,239,251,259,269,271,277,286,304,309,316,315,325,324,331,322,313
92,101,110,125,144,163,168,184,194,204,211,221,230,238,245,250,257,268,275,285,302,301,0,0,0
104,109,124,142,167,176,182,193,199,207,220,234,249,256,266,270,274,284,283,282,300,299,292,0,0
79,59,64,73,83,89,100,107,116,122,130,141,156,166,175,190,189,0,0,0,0,0,0,0,0
