173,172,168,164,163,162,161,160,167,155,141,149,159,154,153,152,151,148,138,124,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,142,116,111,110,109,93,92,90,88,86,82,108,80,107,106,113,131,128,112,105,54,104,103,101,100,42,40,35,34,97,119,137,169,195,216,231,0,0,0,0,0,0
115,94,29,27,89,25,84,81,76,22,21,20,19,70,16,60,58,56,52,51,102,48,44,43,36,95,118,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,91,85,78,23,18,71,15,65,63,55,11,9,8,47,7,6,41,99,98,31,117,143,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,157,134,87,24,77,75,73,17,68,14,66,62,61,12,50,49,45,4,38,33,2,30,135,158,176,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,114,83,79,74,72,69,67,13,64,59,57,53,10,46,5,39,37,3,32,96,120,145,165,178,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,181,170,156,136,133,132,130,129,127,123,122,121,126,125,140,139,147,146,166,174,186,182,185,200,226,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,205,199,193,192,184,191,190,189,188,187,197,196,202,207,206,218,217,227,229,228,233,232,237,241,240,256,255,265,276,0,0,0,0,0,0,0,0,0,0,0,0,0
262,260,271,270,280,291,290,294,298,305,304,312,310,308,323,322,320,319,317,315,307,301,300,292,266,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,299,327,341,362,361,360,373,376,375,382,390,389,388,398,397,411,409,421,420,419,418,417,407,406,405,394,386,384,379,369,357,352,345,0,0,0,0,0,0,0,0,0
314,383,399,429,454,460,468,467,475,474,473,485,484,496,482,495,494,493,492,481,465,464,457,452,435,414,404,392,368,330,346,0,0,0,0,0,0,0,0,0,0,0,0
400,441,469,476,504,515,513,522,529,528,536,535,547,546,545,544,542,540,534,533,526,521,519,507,501,489,462,456,434,413,403,0,0,0,0,0,0,0,0,0,0,0,0
244,343,425,451,477,486,517,523,530,537,548,556,554,563,562,570,569,568,567,566,558,565,557,550,539,532,525,520,508,490,480,463,443,426,393,380,370,331,0,0,0,0,0
432,455,479,488,518,524,531,538,549,555,564,553,561,560,559,552,551,543,541,527,502,491,471,458,436,415,385,371,353,316,0,0,0,0,0,0,0,0,0,0,0,0,0
344,433,442,461,470,478,487,500,506,505,516,514,512,511,510,509,503,499,498,497,483,472,466,459,453,437,416,395,374,358,347,318,295,0,0,0,0,0,0,0,0,0,0
378,377,402,401,412,431,430,440,439,450,449,448,447,446,445,444,438,428,427,424,423,422,410,408,396,387,381,372,359,354,348,332,321,302,296,0,0,0,0,0,0,0,0
306,329,328,342,351,350,367,366,365,364,363,356,355,349,340,339,338,337,336,335,334,333,326,325,324,313,311,309,303,297,293,277,267,0,0,0,0,0,0,0,0,0,0
223,224,225,245,253,264,263,275,274,273,286,285,284,283,282,281,272,261,259,252,239,235,234,238,242,251,250,249,248,247,246,258,257,269,279,278,289,288,287,268,578,576,573
214,222,213,212,211,221,220,219,180,179,194,183,198,204,209,208,203,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
