138,171,191,214,232,258,272,282,297,298,306,307,0,0,0,0,0,0,0,0,0,0,0
71,90,109,128,142,161,184,221,222,241,246,263,264,274,275,276,277,0,0,0,0,0,0
84,96,107,120,127,137,141,156,143,170,192,206,216,234,248,249,250,280,0,0,0,0,0
64,62,61,68,69,83,82,89,97,108,121,145,150,180,193,201,217,224,235,251,0,0,0
42,47,46,53,63,70,92,104,116,132,152,174,194,208,209,225,236,244,0,0,0,0,0
32,31,20,21,26,37,40,49,58,72,93,112,129,146,163,187,210,211,0,0,0,0,0
43,27,13,6,2,10,11,15,16,28,38,45,65,75,100,118,134,153,177,202,0,0,0
48,33,3,4,5,8,18,23,39,56,66,77,95,113,383,384,0,0,0,0,0,0,0
34,22,17,7,9,12,19,36,51,59,78,86,101,123,148,0,0,0,0,0,0,0,0
44,29,30,24,25,35,41,52,67,81,87,102,114,124,140,154,178,385,188,386,388,387,0
54,55,50,57,60,79,88,103,115,126,136,149,160,167,182,190,0,0,0,0,0,0,0
73,74,76,80,85,98,106,125,135,155,169,168,183,198,197,205,204,213,229,238,212,0,0
94,105,119,122,130,147,159,166,181,203,219,231,230,240,239,245,257,256,262,0,0,0,0
117,133,164,165,175,176,196,218,228,237,260,261,271,289,270,291,288,290,287,281,0,0,0
111,139,162,195,226,243,254,269,285,303,313,314,315,320,322,321,323,316,295,286,255,392,391
151,173,186,242,302,283,266,293,311,333,338,341,350,352,353,355,354,343,335,336,327,312,0
158,200,223,278,310,317,331,347,357,364,374,377,378,379,380,367,368,349,351,342,319,0,0
157,185,207,247,265,299,308,330,346,362,369,381,382,373,375,376,366,359,339,340,326,393,0
131,172,215,259,292,305,329,344,356,360,361,370,371,372,363,365,358,348,334,390,0,0,0
110,144,179,199,233,273,296,304,324,328,337,345,325,309,300,301,279,284,294,394,0,0,0
