230,239,248,264,272,277,284,298,283,318,331,316,330,339,329,338,328,315,337,327,326,325,324,314,289,280,271,0,0,0,0,0,0,0,0
165,173,178,185,196,195,203,216,215,227,226,236,246,263,262,260,259,257,256,254,253,243,242,235,224,0,0,0,0,0,0,0,0,0,0
156,111,110,109,117,116,115,114,123,128,133,140,153,161,171,169,181,180,179,187,192,212,191,201,200,210,223,199,234,241,0,0,0,0,0
167,124,96,86,67,62,61,60,59,66,69,75,83,89,94,98,102,101,107,120,131,147,158,176,0,0,0,0,0,0,0,0,0,0,0
166,118,72,45,44,31,24,23,22,21,20,35,41,51,57,64,74,93,105,127,146,157,175,190,211,231,531,530,0,0,0,0,0,0,0
39,25,19,11,10,3,2,1,7,13,17,28,27,47,50,56,81,106,130,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,99,68,52,40,26,16,15,12,6,5,4,9,8,14,18,29,42,53,58,82,100,121,138,213,0,0,0,0,0,0,0,0,0,0
80,63,55,49,46,38,34,33,32,30,37,36,43,48,54,84,65,90,103,122,139,159,0,0,0,0,0,0,0,0,0,0,0,0,0
97,112,88,87,79,78,73,71,70,77,76,85,91,95,104,108,113,132,148,152,170,182,193,0,0,0,0,0,0,0,0,0,0,0,0
126,129,137,136,135,144,143,134,142,141,150,149,155,154,164,163,162,172,177,184,183,188,194,202,214,225,0,0,0,0,0,0,0,0,0
168,174,186,189,198,197,209,208,207,206,205,222,204,221,220,219,218,217,229,228,233,232,238,237,247,245,244,261,258,255,533,532,0,0,0
240,251,269,268,275,278,312,311,310,309,308,320,319,306,305,304,303,302,301,300,299,297,296,295,294,293,292,291,282,281,276,0,0,0,0
265,285,250,270,279,322,342,355,365,394,400,414,413,412,420,411,410,409,408,398,397,396,393,392,377,375,360,359,358,353,352,343,336,323,290
366,415,443,442,470,480,478,488,487,486,485,484,476,475,469,468,462,461,452,437,431,430,429,407,406,385,372,357,351,335,0,0,0,0,0
341,364,433,464,490,504,510,523,522,520,519,517,516,515,514,508,501,500,495,482,474,467,450,436,418,405,382,369,350,0,0,0,0,0,0
321,363,421,441,479,489,503,521,518,529,528,527,526,525,524,513,512,511,505,496,493,491,472,466,446,445,426,404,381,368,349,287,288,0,0
346,379,432,440,463,477,483,502,509,507,506,499,498,497,494,492,481,473,471,465,455,444,434,417,403,380,356,347,313,286,0,0,0,0,0
249,274,334,340,354,378,399,419,439,438,454,453,460,459,458,457,456,451,449,448,447,435,428,427,425,424,423,422,416,402,401,395,367,348,0
267,273,307,333,345,344,362,361,376,373,391,390,389,388,387,386,384,383,371,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
