480,466,441,403,393,379,363,348,331,318,305,288,266,255,241,181,168,160,132,120,113,102,96,92,85,73,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,472,434,401,391,362,344,325,317,294,276,253,247,235,227,217,218,219,220,151,119,107,95,86,82,75,74,68,56,47,37,23,15,7,1,5,6,12,28,33,660,44,60,0
455,406,355,322,303,293,265,246,234,216,208,203,194,185,179,112,91,67,62,46,36,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,503,432,378,361,315,286,274,245,238,225,214,202,193,184,177,156,157,149,90,84,72,61,55,45,34,29,13,11,4,2,9,8,20,21,27,42,54,66,71,0,0,0,0
479,399,366,329,301,273,243,232,200,176,163,148,139,105,93,89,53,41,31,26,16,17,18,19,24,25,30,40,59,65,81,0,0,0,0,0,0,0,0,0,0,0,0,0
453,423,373,352,314,297,279,264,249,237,212,205,182,146,124,108,104,77,57,63,58,49,50,39,51,52,64,70,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,511,497,471,459,443,398,387,377,347,324,312,300,283,278,263,258,210,197,188,171,161,145,133,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,570,562,546,521,514,490,484,462,451,442,426,418,411,386,372,350,346,334,295,289,270,262,257,236,229,204,196,170,144,126,114,103,97,98,99,100,87,0,0,0,0,0,0
561,553,539,533,525,519,495,482,474,447,430,417,371,358,349,333,327,307,296,271,230,187,172,152,134,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,603,593,586,579,567,559,552,538,524,509,502,483,475,470,457,431,421,405,396,381,376,359,351,328,290,248,223,189,173,153,135,123,136,0,0,0,0,0,0,0,0,0,0
617,626,625,632,631,623,616,615,606,602,587,580,575,560,547,544,534,520,513,510,496,463,458,438,422,397,388,365,335,308,272,242,211,190,165,0,0,0,0,0,0,0,0,0
640,646,645,639,633,624,609,595,594,588,581,568,548,545,535,522,491,478,452,439,427,412,382,360,339,313,284,259,231,198,174,147,137,0,0,0,0,0,0,0,0,0,0,0
651,656,655,654,650,649,642,641,634,627,618,611,610,607,596,589,582,569,563,554,549,512,498,464,454,428,413,389,353,298,280,250,199,0,0,0,0,0,0,0,0,0,0,0
652,657,658,659,653,647,638,635,619,620,604,597,590,577,555,540,504,485,465,440,419,400,367,341,321,291,251,213,191,162,127,0,0,0,0,0,0,0,0,0,0,0,0,0
643,648,644,636,637,630,621,612,605,599,584,578,571,556,550,541,527,516,499,488,448,433,414,390,383,368,354,336,309,281,244,224,201,175,154,0,0,0,0,0,0,0,0,0
628,629,622,613,614,608,591,585,573,557,537,529,517,506,493,476,467,444,407,402,392,369,356,343,337,316,302,292,260,233,192,166,138,128,0,0,0,0,0,0,0,0,0,0
601,592,574,558,543,532,507,501,489,473,460,449,435,429,415,408,370,330,323,304,282,275,252,239,215,206,183,155,129,116,109,115,0,0,0,0,0,0,0,0,0,0,0,0
583,598,600,572,566,551,531,508,494,477,461,456,437,420,410,385,375,364,326,320,319,310,299,287,277,254,240,226,207,178,164,140,125,110,101,94,0,0,0,0,0,0,0,0
565,536,530,518,500,481,469,450,446,436,425,416,404,395,380,357,345,267,268,269,261,256,228,221,186,180,167,158,150,143,141,130,117,111,106,665,0,0,0,0,0,0,0,0
542,528,505,492,468,445,424,409,394,384,374,332,338,342,306,311,222,209,195,169,159,131,118,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
