91,108,125,149,182,216,245,259,282,281,299,320,350,367,377,401,421,446,458,0,0,0,0,0,0,0,0,0,0,0,0
78,113,136,161,195,215,244,258,275,291,312,339,349,366,384,400,419,432,442,453,456,483,481,495,498,510,512,515,0,0,0
72,105,130,146,168,192,220,243,274,290,305,319,337,354,364,383,399,408,416,429,440,454,469,467,497,511,513,0,0,0,0
84,115,135,159,194,214,229,264,296,317,336,353,363,382,406,428,439,452,466,480,482,496,499,500,501,0,0,0,0,0,0
47,56,88,112,141,154,172,200,213,236,257,272,310,327,343,376,398,407,430,441,455,468,470,484,485,486,487,0,0,0,0
37,34,43,55,71,81,104,129,157,171,184,203,208,224,250,279,328,344,371,388,417,431,443,457,471,472,0,0,0,0,0
19,39,52,70,75,94,103,119,140,167,176,191,219,242,273,318,333,348,372,389,409,418,444,445,433,459,0,0,0,0,0
48,28,14,6,13,16,27,36,53,60,76,89,107,133,143,160,185,209,237,288,329,355,390,410,0,0,0,0,0,0,0
30,21,2,3,8,20,24,40,61,65,77,90,98,116,124,158,178,201,225,251,289,330,365,391,0,0,0,0,0,0,0
22,4,1,9,17,29,35,49,57,73,85,99,121,142,162,181,204,226,252,280,311,356,420,0,0,0,0,0,0,0,0
5,10,18,32,31,50,54,68,79,100,109,126,150,173,196,227,238,265,292,313,351,0,0,0,0,0,0,0,0,0,0
12,7,11,23,25,41,45,66,80,92,101,117,134,148,179,206,217,231,239,262,283,302,332,345,378,392,411,434,422,0,0
26,42,59,62,74,83,102,110,118,137,145,163,183,207,233,253,266,297,315,340,358,379,394,412,435,0,0,0,0,0,0
33,38,46,64,86,111,122,139,155,175,188,198,223,234,248,263,270,285,308,334,352,368,385,402,424,449,460,0,0,0,0
63,87,97,123,132,153,166,177,190,202,212,235,240,256,271,286,298,324,347,360,380,396,425,436,461,476,475,474,473,447,0
58,44,51,67,93,128,138,156,165,180,199,218,241,268,295,304,326,341,361,375,387,403,426,450,463,477,490,489,0,0,0
82,69,96,106,127,152,164,189,211,228,249,255,278,287,316,325,342,362,370,381,397,405,427,451,464,492,491,505,504,503,488
114,144,170,187,197,222,247,267,294,309,335,369,374,386,404,438,465,479,494,507,520,0,0,0,0,0,0,0,0,0,0
95,131,151,174,186,210,232,254,269,293,307,323,346,359,395,413,437,462,478,493,509,508,506,521,519,517,518,516,502,0,0
120,147,169,193,205,221,261,277,314,322,321,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,246,260,276,301,300,357,373,393,423,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
