274,281,290,289,299,298,320,319,318,288,317,287,240,246,258,257,255,254,245,244,230,206,164,163,154,132,144,153,0,0,0,0,0,0,0,0,0,0,0
183,172,180,173,171,170,179,178,182,195,203,207,215,214,234,233,232,202,201,200,194,193,186,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,135,124,116,108,107,106,105,114,113,122,149,158,157,156,148,147,155,146,145,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,167,123,115,93,88,74,73,67,66,65,64,62,72,81,80,79,78,87,86,92,91,96,101,104,111,120,143,152,0,0,0,0,0,0,0,0,0,0
166,82,63,49,47,44,38,33,32,25,24,23,22,21,20,31,30,36,40,42,45,60,76,89,100,110,129,0,0,0,0,0,0,0,0,0,0,0,0
216,187,61,46,37,15,9,7,6,4,3,2,1,5,8,14,17,27,34,41,58,85,99,109,142,535,0,0,0,0,0,0,0,0,0,0,0,0,0
169,112,77,43,35,29,28,19,18,13,12,11,10,16,26,39,48,54,84,98,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,165,134,121,102,95,90,71,70,69,59,57,56,55,51,50,53,68,75,83,94,97,103,117,137,534,0,0,0,0,0,0,0,0,0,0,0,0,0
184,176,175,162,161,131,130,128,127,141,125,126,119,140,139,138,136,151,160,159,168,174,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,253,252,243,229,239,228,227,226,225,224,223,222,213,212,211,210,209,205,204,199,198,197,190,189,196,191,0,0,0,0,0,0,0,0,0,0,0,0
314,313,312,311,309,308,307,306,304,303,296,295,294,301,293,284,276,271,270,265,260,250,249,241,237,238,220,221,538,0,0,0,0,0,0,0,0,0,0
328,363,381,397,396,395,394,411,393,410,408,407,406,392,378,377,376,366,360,358,345,340,322,291,282,275,269,264,259,256,251,0,0,0,0,0,0,0,0
383,398,435,434,461,469,467,466,465,460,459,458,457,447,438,431,425,419,416,390,374,359,352,346,341,323,300,283,272,261,540,0,0,0,0,0,0,0,0
463,481,486,501,510,508,507,505,504,498,491,490,477,471,464,456,446,432,417,405,375,361,347,331,324,292,0,0,0,0,0,0,0,0,0,0,0,0,0
356,404,423,442,474,482,503,502,517,522,531,530,529,528,527,519,514,506,499,492,478,472,448,439,426,418,391,367,353,342,302,0,0,0,0,0,0,0,0
475,489,513,512,511,518,526,525,524,523,521,520,516,515,509,500,485,479,468,440,420,409,368,354,332,305,277,0,0,0,0,0,0,0,0,0,0,0,0
429,437,470,476,484,483,488,497,496,495,494,493,487,480,473,462,433,427,421,412,379,369,348,333,297,278,266,539,542,541,0,0,0,0,0,0,0,0,0
280,321,373,415,424,430,445,444,443,455,454,453,452,451,450,449,441,436,428,422,414,413,380,370,355,350,334,0,0,0,0,0,0,0,0,0,0,0,0
263,273,339,344,357,365,364,372,389,388,387,386,385,384,403,402,401,400,399,382,371,362,351,343,338,337,336,335,326,325,310,285,279,267,242,536,532,537,533
208,218,219,217,236,235,248,262,268,330,329,327,316,315,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
