132,125,101,92,91,83,82,81,90,100,113,123,136,202,208,226,247,246,239,238,237,245,244,260,266,281,288,311,332,339,353,739,426,743,745,744,748,0,0,0,0,0,0,0,0,0,0
229,194,204,182,171,163,162,155,154,153,152,151,150,149,161,181,180,179,203,227,240,248,273,272,282,293,304,291,303,302,316,314,313,325,334,340,348,355,377,396,406,418,432,448,0,0,0
329,278,277,257,264,256,255,254,253,252,251,250,249,263,261,274,284,283,295,294,308,317,322,327,366,365,379,378,387,409,415,408,420,435,452,451,462,485,520,495,507,519,481,747,751,749,750
443,454,466,465,486,499,512,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,346,345,344,343,351,350,362,361,360,371,370,369,368,383,382,381,391,389,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,549,548,546,545,569,568,567,564,563,562,560,536,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,430,429,439,459,479,457,477,476,475,474,473,472,471,456,444,552,582,600,608,626,641,640,655,654,652,636,621,619,617,603,594,595,561,0,0,0,0,0,0,0,0,0,0,0,0,0
431,480,494,524,534,558,557,578,592,590,589,587,585,576,575,573,554,553,628,643,666,684,683,718,698,708,717,716,715,703,696,691,680,664,634,580,543,527,0,0,0,0,0,0,0,0,0
319,375,394,440,542,593,616,633,649,662,677,675,673,671,660,659,647,630,614,667,685,711,724,736,738,729,733,731,727,725,712,702,690,679,618,566,537,0,0,0,0,0,0,0,0,0,0
441,518,559,602,650,663,678,689,695,694,688,687,670,669,657,644,686,701,720,722,730,737,735,734,732,728,726,721,713,692,681,635,604,597,581,596,565,0,0,0,0,0,0,0,0,0,0
416,446,516,535,579,615,632,631,648,676,674,672,661,658,646,645,629,656,668,693,700,699,710,709,719,707,706,705,704,697,682,665,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,424,404,460,493,515,533,541,556,577,591,588,586,584,574,555,572,583,601,613,612,611,610,609,627,642,625,624,623,622,639,638,637,607,606,605,599,598,620,0,0,0,0,0,0,0,0
352,373,403,413,422,438,445,458,478,492,505,491,504,503,502,490,489,488,470,469,455,468,467,487,501,500,514,513,511,532,531,530,529,539,551,550,547,571,570,544,0,0,0,0,0,0,0
287,299,298,318,323,336,335,342,349,359,372,384,393,392,402,401,400,412,399,390,380,367,358,357,364,388,397,411,410,421,427,436,442,453,464,463,498,497,510,521,528,0,0,0,0,0,0
183,213,212,211,210,209,221,220,219,228,233,232,241,262,276,275,286,285,297,296,309,307,306,305,292,271,270,269,268,267,290,301,315,321,326,341,356,363,386,407,419,434,450,461,496,509,508
131,130,129,124,128,138,137,142,148,147,169,168,178,191,190,189,201,188,187,177,167,175,174,186,205,217,216,225,236,259,289,312,324,333,354,385,414,433,449,484,0,0,0,0,0,0,0
93,75,66,58,57,56,55,54,53,52,65,71,74,80,89,88,99,98,97,110,109,108,107,106,119,118,134,140,158,157,185,198,223,235,258,310,338,376,417,447,483,482,0,0,0,0,0
102,60,48,40,22,15,14,12,10,9,8,18,27,26,29,34,33,42,50,49,61,69,68,72,78,86,85,84,95,103,115,133,143,164,172,196,222,243,320,337,405,0,0,0,0,0,0
31,23,6,2,1,3,5,4,7,17,16,25,32,43,62,73,87,96,122,135,121,120,105,104,117,116,126,139,156,173,195,230,265,331,425,0,0,0,0,0,0,0,0,0,0,0,0
114,94,76,59,47,46,39,38,37,36,45,51,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,67,41,24,28,21,13,11,20,19,30,35,44,63,70,79,112,127,141,146,176,166,206,200,199,215,224,234,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,160,145,144,159,165,184,197,214,231,242,279,300,330,347,395,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
