335,217,230,229,228,227,216,215,226,225,223,222,221,239,238,237,236,235,234,233,220,212,208,200,195,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,275,201,190,182,174,161,160,154,153,152,151,144,150,158,157,167,166,172,165,164,156,149,139,131,120,115,114,119,118,130,188,177,187,163,183,538,537,168,0
266,205,173,141,132,116,110,100,72,70,92,69,91,98,90,97,96,88,86,68,84,19,59,79,105,107,117,125,138,0,0,0,0,0,0,0,0,0,0,0
210,181,146,121,101,73,11,45,43,9,38,8,34,5,29,26,22,65,63,16,55,95,104,113,123,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10,42,37,7,33,6,28,25,21,67,64,60,58,54,76,103,112,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,71,44,41,39,36,32,4,24,1,20,18,62,17,56,15,52,51,49,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,145,127,109,40,35,31,30,27,23,3,66,61,57,14,53,13,12,47,93,111,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,159,140,126,108,89,87,85,83,82,81,80,78,77,94,50,48,75,74,106,122,128,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,224,214,209,204,199,196,189,184,179,171,170,169,155,148,143,136,134,133,137,142,147,162,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,283,289,282,281,272,265,264,260,254,253,252,245,244,219,207,203,198,194,193,186,185,191,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,347,368,376,375,373,381,372,365,361,360,359,354,345,341,332,307,295,285,278,263,251,247,241,231,218,211,206,202,0,0,0,0,0,0,0,0,0,0,0
415,387,408,423,434,433,447,439,446,438,437,428,427,418,417,403,396,385,377,356,353,339,305,292,284,267,261,250,246,0,0,0,0,0,0,0,0,0,0,0
470,474,487,494,493,500,491,490,484,478,469,462,452,444,435,420,413,401,384,362,350,336,312,304,291,276,256,0,0,0,0,0,0,0,0,0,0,0,0,0
449,475,495,507,513,524,523,528,532,520,527,526,519,518,514,510,504,497,482,477,468,451,442,431,412,389,370,351,337,313,299,277,262,240,0,0,0,0,0,0
459,476,534,533,536,535,531,515,509,498,483,471,454,443,425,402,390,371,352,338,314,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,441,461,489,508,517,525,530,529,522,521,516,512,511,499,485,479,472,455,453,436,426,416,395,378,357,340,306,294,268,243,242,0,0,0,0,0,0,0,0
460,481,488,496,503,506,505,502,501,492,486,480,473,456,445,429,421,414,391,379,363,344,331,300,286,269,257,248,232,0,0,0,0,0,0,0,0,0,0,0
411,430,450,458,467,466,465,464,463,457,448,440,432,422,419,404,392,380,364,358,346,342,315,301,296,270,258,249,0,0,0,0,0,0,0,0,0,0,0,0
349,369,383,388,394,400,399,410,409,407,406,405,398,397,393,386,382,374,367,366,355,343,334,333,318,317,316,308,302,297,287,279,259,0,0,0,0,0,0,0
303,311,310,330,329,328,327,326,325,324,323,322,321,320,319,309,298,288,280,271,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
