337,359,369,385,395,409,427,426,434,433,443,441,440,439,431,430,423,422,417,405,388,379,365,340,0,0,0,0,0,0
259,276,295,318,342,357,374,384,383,381,393,392,390,389,387,380,371,366,354,339,333,304,292,270,254,0,0,0,0,0
248,257,275,293,301,308,307,314,325,312,324,323,322,311,305,297,296,280,265,253,240,228,219,208,0,0,0,0,0,0
194,201,212,237,236,244,243,242,233,241,231,230,229,218,197,192,193,198,199,182,177,480,178,0,0,0,0,0,0,0
174,173,165,164,163,172,171,162,170,161,168,159,158,157,156,149,150,160,478,169,0,0,0,0,0,0,0,0,0,0
205,181,128,118,112,107,90,98,76,89,74,88,87,72,86,85,103,102,115,121,122,127,133,476,0,0,0,0,0,0
124,113,101,77,61,52,22,19,16,3,14,12,48,9,45,43,41,56,62,71,84,96,104,116,475,477,0,0,0,0
130,94,54,33,5,30,4,26,24,20,17,2,13,11,10,44,42,57,73,473,0,0,0,0,0,0,0,0,0,0
125,79,68,38,37,35,34,32,29,25,23,21,18,50,15,49,47,46,58,0,0,0,0,0,0,0,0,0,0,0
108,82,70,55,1,40,39,8,7,36,6,31,28,27,53,51,60,59,64,63,75,97,474,472,0,0,0,0,0,0
126,120,119,114,109,95,83,81,69,80,67,66,65,78,93,92,91,100,99,106,105,111,117,123,134,0,0,0,0,0
176,167,175,166,155,145,132,131,144,143,142,141,129,140,139,138,137,136,135,148,147,146,154,153,152,151,0,0,0,0
222,223,225,227,226,224,217,216,215,207,214,213,206,204,203,202,196,195,191,190,189,188,187,186,185,184,183,180,179,479
268,269,291,290,289,288,287,286,285,284,279,278,277,266,264,263,258,252,251,247,246,239,238,221,211,200,0,0,0,0
331,332,346,345,353,352,363,361,350,360,349,344,343,338,336,328,320,319,317,303,302,294,274,273,262,256,250,245,220,0
310,330,364,386,400,404,416,415,414,413,412,411,403,396,378,377,368,358,348,335,316,309,300,283,272,261,255,0,0,0
329,362,399,421,438,451,450,457,456,455,448,436,428,420,419,408,402,394,375,367,356,341,327,315,299,282,271,260,249,235
351,398,429,449,458,466,471,470,469,465,463,462,453,445,435,425,418,407,401,382,372,355,347,334,326,313,298,281,0,0
267,321,370,397,410,437,447,446,454,464,461,468,467,460,459,444,442,432,424,406,391,0,0,0,0,0,0,0,0,0
