119,133,118,111,106,105,88,87,101,100,99,98,97,86,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,179,155,151,141,120,107,90,89,81,80,130,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,175,147,112,108,91,76,61,48,47,46,45,53,44,43,42,41,40,35,34,33,50,69,79,84,94,137,0,0,0,0,0
300,205,157,143,102,92,67,49,31,24,23,19,18,17,10,15,8,13,25,29,38,55,68,0,0,0,0,0,0,0,0,0
307,291,229,195,171,144,103,62,32,28,22,7,5,4,3,2,1,6,12,30,37,56,63,71,78,93,109,116,0,0,0,0
356,269,230,134,113,77,54,36,21,20,11,16,9,14,27,26,39,57,72,95,104,114,496,0,0,0,0,0,0,0,0,0
183,156,142,121,83,82,70,66,65,60,59,52,51,58,64,73,85,96,110,115,0,0,0,0,0,0,0,0,0,0,0,0
364,329,290,277,256,228,214,189,188,170,169,154,150,146,139,128,127,126,117,125,124,123,122,138,136,153,497,0,0,0,0,0
328,313,298,297,281,268,254,253,246,237,236,227,221,212,193,181,177,173,163,162,172,0,0,0,0,0,0,0,0,0,0,0
370,369,377,375,368,362,353,352,348,347,340,335,325,324,310,304,288,273,251,234,225,217,198,197,498,0,0,0,0,0,0,0
403,416,422,421,427,420,419,409,408,401,397,393,386,380,373,360,351,333,318,294,279,271,258,241,231,0,0,0,0,0,0,0
445,457,456,467,466,465,464,455,454,446,442,436,428,418,407,396,384,358,344,332,316,301,285,270,240,499,0,0,0,0,0,0
434,439,459,469,480,488,487,486,482,476,473,472,463,453,435,432,425,399,391,383,372,350,331,315,293,283,263,222,0,0,0,0
458,460,470,490,489,494,493,492,495,491,485,484,481,475,471,461,451,440,430,423,404,389,382,371,349,330,314,292,278,257,215,0
479,483,478,477,474,468,462,452,441,431,424,405,390,378,365,343,322,308,284,264,247,223,0,0,0,0,0,0,0,0,0,0
438,429,450,449,448,447,444,443,437,433,426,417,406,400,392,387,379,366,357,345,337,317,302,286,265,248,224,206,0,0,0,0
415,414,413,412,411,410,402,398,395,394,388,385,367,361,359,346,338,334,323,319,309,303,287,272,259,232,216,196,191,184,0,0
381,376,374,363,355,354,342,341,339,326,321,320,311,305,295,280,275,274,266,260,250,249,242,233,218,185,180,176,135,148,152,0
282,336,327,312,306,296,289,276,267,262,261,252,245,244,243,235,226,220,211,203,202,201,200,210,219,209,208,207,192,187,186,199
255,238,213,204,182,178,174,168,167,161,160,166,165,164,159,158,149,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
