232,231,223,213,212,205,198,191,185,178,168,164,158,145,142,134,122,0,0,0,0,0,0,0,0,0,0
190,184,173,163,157,150,143,137,138,133,126,128,120,105,106,84,85,65,48,50,2,51,68,77,87,0,0
144,132,98,82,73,92,74,62,42,43,16,45,47,21,5,27,54,69,78,0,0,0,0,0,0,0,0
214,295,294,167,127,104,83,75,41,9,10,11,12,44,14,3,46,19,22,6,8,29,33,55,79,94,117
151,93,63,13,15,64,17,18,4,20,49,23,25,7,53,32,35,56,80,95,109,114,0,0,0,0,0
199,186,152,121,146,107,86,66,76,67,24,26,52,28,30,31,34,36,37,38,39,57,96,115,129,0,0
233,251,246,215,187,159,153,139,123,112,113,99,108,88,100,89,90,70,58,59,71,40,60,72,101,118,0
253,240,226,200,202,188,181,175,176,161,154,155,140,135,124,116,111,103,91,61,81,97,102,110,119,430,0
273,274,275,276,277,267,268,259,255,242,222,196,183,171,162,149,141,136,131,125,130,428,429,0,0,0,0
303,309,314,322,327,334,341,342,337,325,305,301,291,271,250,244,230,204,189,172,166,156,148,165,0,0,0
332,350,362,372,379,387,380,381,375,365,352,348,338,317,306,290,278,260,243,229,211,197,0,0,0,0,0
329,330,361,385,399,406,409,410,412,402,397,382,356,347,328,316,300,289,270,256,238,221,432,0,0,0,0
377,398,417,420,421,426,427,419,411,401,391,374,364,346,336,324,299,288,269,249,228,210,0,0,0,0,0
368,388,404,415,424,425,422,423,418,407,400,386,373,363,345,335,315,298,287,266,0,0,0,0,0,0,0
307,339,367,376,393,403,413,414,416,408,405,396,390,378,370,351,340,323,311,297,286,265,254,241,220,203,431
383,392,394,395,389,384,371,369,355,344,333,310,296,285,264,248,237,219,195,182,177,0,0,0,0,0,0
349,357,366,358,359,360,353,354,343,331,321,304,293,283,263,258,247,236,227,209,194,180,170,160,147,0,0
312,326,318,319,320,313,308,302,292,282,262,252,239,225,216,217,218,207,208,201,193,179,174,0,0,0,0
281,284,280,279,272,261,257,245,234,235,224,206,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
