375,367,361,356,346,342,337,327,320,312,308,299,286,279,273,262,254,253,252,261,0,0,0,0,0,0,0,0,0,0,0,0
401,408,409,410,411,396,395,394,389,380,372,360,354,345,341,326,319,307,297,285,284,283,0,0,0,0,0,0,0,0,0,0
424,433,434,435,437,436,425,419,417,407,392,383,379,371,365,344,336,318,296,282,0,0,0,0,0,0,0,0,0,0,0,0
449,448,447,446,443,440,432,422,414,406,399,388,382,370,353,335,310,291,272,260,245,235,230,221,209,463,465,0,0,0,0,0
441,457,456,455,454,453,444,442,439,430,418,403,387,364,351,325,302,270,229,467,464,0,0,0,0,0,0,0,0,0,0,0
359,393,416,423,445,452,451,450,438,427,420,413,402,390,386,374,348,324,306,289,267,0,0,0,0,0,0,0,0,0,0,0
421,431,429,428,426,412,397,384,376,373,357,333,315,300,277,259,244,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,400,405,404,398,391,385,381,377,368,362,347,343,332,313,293,281,258,243,228,213,0,0,0,0,0,0,0,0,0,0,0
378,369,363,349,339,329,323,314,305,294,288,276,268,257,249,239,227,219,211,208,200,195,193,186,462,461,0,0,0,0,0,0
358,352,334,316,301,290,269,266,250,234,233,220,212,202,201,192,191,185,182,181,175,174,173,164,165,166,159,0,0,0,0,0
340,317,311,295,271,251,240,214,196,187,176,167,160,155,152,151,142,141,132,130,129,127,134,128,131,133,135,143,460,0,0,0
278,246,222,197,183,168,156,136,115,107,95,84,83,75,74,73,69,72,71,70,81,82,94,105,459,0,0,0,0,0,0,0
215,188,177,157,145,109,99,78,58,56,33,31,30,29,23,22,21,28,38,37,51,50,55,62,76,85,106,458,0,0,0,0
298,241,223,203,178,147,101,66,60,43,26,19,18,8,7,4,3,2,1,6,5,16,24,32,40,39,52,63,77,96,116,144
198,169,148,112,93,67,48,27,20,15,14,13,12,11,10,9,17,25,34,41,57,64,86,97,153,0,0,0,0,0,0,0
247,237,217,194,171,154,149,126,104,80,68,61,54,49,47,36,35,46,45,44,42,53,59,65,79,87,98,117,0,0,0,0
264,232,225,207,190,172,163,150,140,139,125,114,113,111,103,102,92,91,90,89,88,100,108,0,0,0,0,0,0,0,0,0
330,321,303,287,275,256,248,238,226,218,206,205,199,189,184,180,179,170,162,161,158,146,138,124,123,122,110,121,120,137,119,118
366,355,338,331,328,322,309,304,292,280,274,265,255,242,231,224,216,210,204,0,0,0,0,0,0,0,0,0,0,0,0,0
