17,38,44,58,68,85,105,118,134,145,164,171,185,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,59,45,39,28,25,35,47,57,73,84,99,110,117,141,152,162,179,187,191,209,218,249,265,406,407,409,0
32,13,8,16,24,26,37,55,71,79,91,109,130,144,161,178,198,224,0,0,0,0,0,0,0,0,0,0
27,12,2,1,3,6,15,23,31,40,56,63,76,89,104,116,140,159,182,208,230,0,0,0,0,0,0,0
11,7,5,10,18,21,36,49,77,97,115,143,170,202,228,410,0,0,0,0,0,0,0,0,0,0,0,0
14,20,30,46,62,69,82,96,112,123,138,149,176,201,223,243,408,0,0,0,0,0,0,0,0,0,0,0
19,22,33,42,52,64,75,87,111,119,122,137,148,165,186,196,215,242,264,0,0,0,0,0,0,0,0,0
43,41,34,53,70,102,124,139,150,158,169,200,206,222,241,259,274,291,303,311,305,0,0,0,0,0,0,0
54,65,83,103,113,129,151,177,197,216,233,247,260,273,283,296,302,319,330,337,0,0,0,0,0,0,0,0
72,67,66,78,98,133,160,183,207,217,229,238,248,255,269,281,292,304,320,335,336,343,344,0,0,0,0,0
92,125,166,190,225,244,261,275,284,297,312,321,338,345,361,373,372,374,362,0,0,0,0,0,0,0,0,0
93,126,163,184,210,219,234,256,270,282,293,306,322,331,346,356,363,376,385,384,395,394,383,375,0,0,0,0
80,100,131,155,192,226,245,252,266,276,294,307,313,324,339,349,357,365,380,387,400,399,398,405,397,396,377,411
120,156,172,203,211,240,257,271,286,300,309,326,333,353,358,369,381,392,390,404,403,402,401,386,378,0,0,0
88,136,174,204,227,251,267,289,310,317,328,341,354,360,371,382,393,391,389,388,379,0,0,0,0,0,0,0
107,127,154,195,214,236,246,263,268,280,290,295,318,329,342,355,359,370,368,367,366,364,347,0,0,0,0,0
90,108,132,157,181,205,221,237,254,262,279,278,288,301,316,327,334,340,352,351,350,348,0,0,0,0,0,0
95,128,147,175,189,213,220,232,235,250,258,272,287,299,315,325,332,323,0,0,0,0,0,0,0,0,0,0
74,86,101,114,142,153,168,173,194,199,212,231,239,253,277,285,298,308,314,0,0,0,0,0,0,0,0,0
51,61,50,60,81,94,106,121,135,146,167,180,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
