192,162,130,145,144,151,161,160,166,173,183,175,191,205,182,190,189,214,204,203,213,212,211,210,209,202,200,0,0,0,0,0,0
100,94,96,95,93,99,98,97,108,107,117,123,126,129,137,139,138,143,149,159,158,157,156,164,0,0,0,0,0,0,0,0,0
176,59,53,52,51,50,61,60,67,74,73,77,84,91,90,105,111,116,120,136,148,180,207,523,0,0,0,0,0,0,0,0,0
112,65,43,34,28,21,20,19,27,26,32,38,41,49,56,63,72,86,89,110,132,147,174,199,0,0,0,0,0,0,0,0,0
115,78,58,16,15,9,2,1,8,6,13,12,23,31,46,48,80,104,119,141,170,198,0,0,0,0,0,0,0,0,0,0,0
184,92,42,33,18,14,7,5,4,3,11,10,17,22,39,45,55,68,102,127,153,186,522,0,0,0,0,0,0,0,0,0,0
64,57,47,40,37,24,30,29,36,35,44,54,62,66,79,101,113,124,140,152,178,195,222,236,0,0,0,0,0,0,0,0,0
106,87,83,76,71,70,69,75,82,81,85,88,103,114,118,131,146,163,185,215,221,229,242,521,0,0,0,0,0,0,0,0,0
122,121,125,128,135,134,133,142,155,154,171,169,168,179,197,206,216,225,230,235,250,255,261,525,524,0,0,0,0,0,0,0,0
150,165,172,181,187,201,208,223,226,231,233,237,244,243,251,257,256,263,262,273,272,277,276,283,284,0,0,0,0,0,0,0,0
188,218,227,245,252,264,286,285,294,318,317,339,338,337,336,335,333,332,331,330,313,312,303,302,310,301,300,299,296,297,298,0,0
253,278,306,346,356,388,387,398,409,421,435,434,433,432,430,429,419,418,406,395,394,393,384,373,371,360,359,358,349,342,328,309,0
274,287,347,380,410,423,451,461,473,472,481,480,495,494,492,478,477,469,464,463,454,443,441,428,416,415,404,391,390,382,370,350,311
291,348,401,459,474,497,500,508,507,517,515,514,513,512,504,503,502,499,491,490,476,468,460,455,442,427,414,392,383,372,329,0,0
279,340,357,403,412,452,475,489,498,501,511,510,520,509,519,518,516,506,505,496,493,479,470,465,456,444,417,405,385,374,343,314,0
281,327,368,413,440,453,462,467,488,487,486,485,484,483,482,471,466,457,445,431,407,396,375,361,0,0,0,0,0,0,0,0,0
240,248,282,293,341,369,367,381,389,402,411,426,425,424,439,438,437,436,450,449,448,447,458,446,422,420,408,397,376,351,334,315,0
379,366,378,377,362,353,352,344,316,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,232,241,249,260,271,275,280,288,292,295,308,326,307,325,324,323,322,321,320,305,304,319,355,365,364,363,354,345,0,0,0,0
177,194,193,220,224,228,234,239,238,247,246,254,259,270,269,268,267,266,265,258,0,0,0,0,0,0,0,0,0,0,0,0,0
