152,162,172,195,184,194,202,201,200,199,191,198,190,180,168,210,154,0,0,0,0,0,0
109,114,121,120,143,141,140,139,132,137,131,135,128,127,116,117,169,364,0,0,0,0,0
87,76,75,74,73,85,84,98,82,89,97,104,111,130,147,155,181,192,0,0,0,0,0
57,64,52,10,7,5,36,1,34,33,32,56,65,83,99,107,118,136,156,0,0,0,0
110,44,17,14,41,8,6,3,2,35,51,66,90,108,119,138,151,161,182,193,170,0,0
93,49,26,46,23,43,21,19,15,13,12,40,9,38,4,37,60,70,86,105,112,0,0
95,59,53,54,29,27,25,24,45,22,20,18,16,42,11,39,61,71,100,142,157,0,0
55,31,30,50,28,48,47,58,63,62,67,77,91,101,113,133,158,0,0,0,0,0,0
96,81,80,72,103,79,78,88,94,92,102,106,115,122,134,144,148,159,171,183,0,0,0
123,125,126,124,145,150,153,160,164,178,177,175,174,186,173,185,197,196,204,203,0,0,0
205,188,167,238,233,189,179,207,206,213,227,226,225,224,223,232,231,221,220,218,217,216,215
214,228,246,255,261,254,259,268,267,282,266,281,277,265,276,258,257,251,244,229,0,0,0
260,262,278,294,303,312,311,322,321,328,310,320,302,301,291,280,263,250,236,0,0,0,0
212,245,293,313,329,344,353,352,350,343,339,326,318,300,289,274,256,242,0,0,0,0,0
269,323,358,357,362,361,360,355,347,342,325,317,309,288,273,0,0,0,0,0,0,0,0
166,209,253,292,327,349,356,359,354,345,341,324,316,298,287,272,0,0,0,0,0,0,0
319,338,337,346,336,335,334,333,332,331,330,315,314,308,285,271,235,241,0,0,0,0,0
165,163,222,237,252,264,275,290,299,297,286,284,296,307,306,305,304,295,283,279,270,248,234
149,176,187,208,219,230,243,240,249,239,247,0,0,0,0,0,0,0,0,0,0,0,0
