234,257,282,295,331,354,371,387,397,419,434,444,450,468,470,477,478,479,486,496,502,507,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,214,259,304,324,348,373,401,423,453,472,461,480,487,497,508,509,510,537,524,538,554,567,568,569,540,541,527,490,579,0,0,0,0,0,0,0,0,0
176,228,275,305,333,365,391,438,447,473,482,491,498,512,513,528,529,555,530,556,570,574,571,561,559,557,539,526,542,0,0,0,0,0,0,0,0,0,0
572,573,563,564,562,543,560,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,157,194,229,260,307,335,357,378,427,439,454,463,475,495,499,504,505,518,534,566,552,553,550,548,551,549,547,546,565,545,544,532,531,514,492,0,0,0
223,251,277,300,337,358,366,379,404,429,430,441,448,467,466,485,500,501,506,522,520,521,519,535,517,533,516,515,0,0,0,0,0,0,0,0,0,0,0
27,95,145,158,182,208,239,269,290,309,318,326,345,360,367,381,405,414,431,442,458,457,465,464,476,484,483,494,493,474,462,0,0,0,0,0,0,0,0
96,107,118,131,147,189,200,225,231,241,253,264,270,291,292,310,319,344,359,375,380,403,428,440,456,455,0,0,0,0,0,0,0,0,0,0,0,0,0
129,130,84,50,54,55,70,77,92,93,108,120,137,153,170,171,183,199,218,224,240,252,268,289,288,317,316,343,350,374,394,402,413,412,0,0,0,0,0
34,29,36,37,42,48,62,71,86,91,110,119,125,136,146,167,198,217,238,284,308,336,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,8,15,9,10,21,22,28,35,41,51,61,69,85,90,106,117,124,140,152,179,195,204,230,261,276,287,315,393,0,0,0,0,0,0,0,0,0
74,65,59,66,76,2,1,3,7,14,20,24,33,40,47,60,68,83,89,105,116,135,151,163,193,216,237,246,267,283,306,334,392,0,0,0,0,0,0
103,109,104,82,67,6,4,5,11,18,19,26,32,39,46,49,58,75,81,94,115,128,143,162,192,236,250,274,299,325,349,0,0,0,0,0,0,0,0
25,17,16,23,30,31,38,43,53,57,64,73,88,100,112,113,123,134,149,161,185,212,235,258,273,298,314,341,356,390,425,411,0,0,0,0,0,0,0
45,44,52,56,63,72,87,97,122,127,139,142,155,156,174,203,221,222,233,245,266,281,296,297,313,332,347,364,389,410,424,0,0,0,0,0,0,0,0
114,133,101,79,78,99,98,111,121,126,138,148,154,159,172,190,201,210,220,226,243,255,272,279,294,303,323,340,355,372,388,399,400,409,437,446,0,0,0
132,141,160,173,191,209,219,232,242,247,248,265,285,293,302,311,321,329,330,339,353,363,370,386,398,408,422,436,452,460,481,488,0,0,0,0,0,0,0
184,202,227,249,254,286,301,320,327,328,338,351,361,362,368,376,384,407,385,396,416,417,433,418,420,421,435,445,451,471,577,578,580,581,525,511,503,489,0
150,175,211,244,256,280,312,322,346,352,369,377,382,383,395,406,415,432,443,449,459,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
