293,199,187,179,171,172,161,162,163,164,180,165,188,166,173,190,200,174,201,191,193,194,195,196,181,177,154,0,0,0,0,0,0,0,0
186,170,146,133,112,113,95,105,96,97,98,91,100,106,115,124,135,136,125,137,127,128,116,103,108,0,0,0,0,0,0,0,0,0,0
92,129,150,144,157,202,207,225,216,230,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,185,160,141,118,104,85,75,61,62,53,45,36,37,38,46,54,55,65,69,70,71,77,78,79,80,89,109,568,197,182,0,0,0,0
140,110,90,67,35,31,21,19,13,5,14,15,16,22,23,24,28,33,34,41,48,49,72,102,117,139,155,0,0,0,0,0,0,0,0
73,59,29,18,10,1,2,3,4,6,7,8,17,25,40,57,88,107,138,149,156,168,229,0,0,0,0,0,0,0,0,0,0,0,0
241,184,93,74,58,30,20,9,11,12,26,27,32,39,47,56,66,76,87,101,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,169,130,94,84,81,82,68,60,42,43,44,50,51,52,63,64,83,86,99,114,123,148,176,0,0,0,0,0,0,0,0,0,0,0
239,226,204,183,178,158,159,145,142,131,132,119,111,120,121,122,134,143,147,151,152,153,167,175,192,203,223,249,0,0,0,0,0,0,0
262,256,251,252,240,231,232,233,217,218,209,210,211,212,205,206,213,214,215,219,220,221,222,228,0,0,0,0,0,0,0,0,0,0,0
306,323,336,337,338,324,325,339,307,294,295,282,283,284,276,269,270,271,265,272,266,267,259,260,261,0,0,0,0,0,0,0,0,0,0
372,383,416,417,398,418,399,420,421,422,401,402,403,384,386,374,375,376,367,359,353,346,340,341,328,317,296,285,286,0,0,0,0,0,0
431,438,457,458,473,474,492,476,477,478,480,481,482,494,483,463,450,442,432,429,408,393,377,368,369,354,355,342,331,321,0,0,0,0,0
439,462,498,507,513,514,515,525,526,527,528,529,530,531,532,533,517,518,510,511,499,495,485,467,460,443,433,423,413,388,379,360,356,0,0
419,501,524,540,546,547,552,553,554,556,558,559,560,549,542,543,535,519,520,503,496,489,469,452,434,424,395,390,370,358,300,0,0,0,0
475,508,541,548,555,557,564,565,566,567,561,562,563,550,551,545,539,522,512,504,500,490,470,471,456,447,436,430,415,381,363,350,332,287,301
479,493,502,509,516,534,544,536,537,538,521,523,505,506,497,491,472,455,446,448,437,427,397,382,365,352,335,0,0,0,0,0,0,0,0
400,428,441,449,459,464,465,466,484,486,487,488,468,451,461,453,454,444,445,435,425,426,414,396,391,392,371,364,351,334,0,0,0,0,0
366,373,385,404,405,406,407,409,410,411,412,394,387,389,378,380,361,362,357,347,348,349,343,344,345,333,322,304,305,281,303,0,0,0,0
326,308,309,310,311,327,312,313,314,315,316,329,330,318,319,320,297,298,299,277,278,273,274,279,288,302,289,290,291,280,275,268,0,0,0
292,263,264,257,258,253,254,234,235,236,237,242,243,244,245,246,247,255,248,250,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
