287,254,229,198,179,134,123,115,90,76,57,43,35,33,25,24,23,32,39,0,0,0,0,0,0,0,0,0,0,0
350,312,276,263,233,197,177,161,151,122,101,89,66,65,56,54,53,52,51,74,85,97,109,129,128,126,120,118,117,116
402,390,379,359,332,311,285,252,240,221,191,176,168,150,143,131,121,114,112,98,111,110,84,83,96,95,94,0,0,0
430,424,378,370,358,326,306,284,261,246,239,227,218,205,190,167,166,159,149,141,0,0,0,0,0,0,0,0,0,0
408,401,400,389,367,357,331,318,304,295,283,266,251,237,216,194,182,172,155,146,139,138,137,0,0,0,0,0,0,0
423,419,418,407,388,377,376,366,355,344,337,325,310,301,292,269,249,226,203,188,181,171,488,485,487,0,0,0,0,0
453,450,449,443,437,428,417,413,393,374,364,336,324,300,265,244,232,214,201,490,0,0,0,0,0,0,0,0,0,0
457,465,471,470,469,468,462,452,448,446,435,427,411,405,387,369,347,323,290,257,235,224,208,0,0,0,0,0,0,0
425,466,475,480,483,482,477,473,459,454,444,433,415,396,372,352,322,289,0,0,0,0,0,0,0,0,0,0,0,0
464,474,479,478,481,476,472,458,451,439,431,420,403,381,362,340,320,298,279,0,0,0,0,0,0,0,0,0,0,0
456,463,467,461,460,455,445,434,432,421,414,409,395,380,361,346,333,313,293,277,264,0,0,0,0,0,0,0,0,0
438,447,442,441,440,436,426,416,410,404,397,391,382,371,363,351,341,334,321,307,288,278,255,242,230,212,199,489,491,0
429,422,412,406,398,392,384,383,373,368,360,353,342,335,328,314,308,294,280,256,247,234,223,207,192,185,0,0,0,0
399,394,385,375,365,354,348,343,329,315,309,299,291,282,281,268,258,248,243,231,213,200,186,180,163,162,153,486,0,0
356,338,330,316,302,272,271,270,259,250,245,236,225,215,209,202,193,187,170,164,154,145,136,135,125,0,0,0,0,0
317,303,267,273,260,238,217,210,204,189,183,173,165,158,157,156,148,140,127,119,108,107,106,91,0,0,0,0,0,0
319,305,274,228,211,195,174,160,142,130,113,99,88,87,86,73,72,64,63,62,61,60,59,70,69,79,0,0,0,0
386,345,339,296,262,219,175,144,100,75,55,47,40,31,30,29,22,21,20,28,38,46,45,49,104,124,484,0,0,0
297,253,222,196,169,132,102,67,42,41,34,16,15,10,8,6,5,4,3,2,1,14,19,27,37,50,58,68,92,0
349,327,286,275,241,206,178,152,133,103,78,77,48,44,36,26,18,17,13,12,11,9,7,0,0,0,0,0,0,0
