357,363,371,372,373,364,358,341,330,323,305,294,281,287,248,243,386,0,0,0,0,0,0,0,0
288,303,329,338,346,354,356,355,347,339,335,327,316,304,286,272,260,231,219,201,0,0,0,0,0
315,314,322,313,312,310,302,297,289,280,265,247,230,218,199,189,200,176,171,166,162,155,382,383,384
285,284,271,268,264,258,246,254,237,217,203,188,154,140,141,142,0,0,0,0,0,0,0,0,0
245,235,215,208,192,186,182,175,170,160,153,147,139,133,128,121,114,115,116,107,108,109,0,0,0
236,216,197,169,158,152,138,125,112,104,90,91,92,93,84,85,77,78,79,86,87,0,0,0,0
259,238,209,187,159,132,126,98,76,57,54,40,41,31,42,32,43,48,44,50,51,55,61,88,0
222,183,146,105,83,58,47,24,14,5,6,7,8,12,16,19,25,35,52,62,0,0,0,0,0
198,161,127,99,59,33,34,15,11,1,2,3,4,9,10,13,17,18,20,26,46,56,0,0,0
242,223,190,148,106,80,60,45,36,21,22,23,27,30,29,28,37,39,38,53,63,0,0,0,0
226,204,184,163,134,117,110,101,94,81,82,75,74,72,71,70,69,68,67,66,65,64,73,89,0
227,205,193,178,167,156,145,137,130,131,124,120,119,118,111,103,102,97,96,95,0,0,0,0,0
255,273,274,266,261,250,239,232,221,213,207,196,191,181,174,168,165,157,151,150,136,129,123,122,0
295,296,290,283,277,278,267,257,253,252,241,234,225,214,202,195,185,180,173,164,149,144,135,143,0
318,320,311,309,301,293,279,270,256,244,233,220,206,194,179,0,0,0,0,0,0,0,0,0,0
317,332,343,344,351,353,345,334,326,308,300,292,269,263,251,240,224,212,177,0,0,0,0,0,0
328,348,360,368,369,370,362,352,337,325,321,307,299,291,276,229,211,0,0,0,0,0,0,0,0
342,366,375,381,378,379,367,361,350,333,319,306,298,282,275,262,249,387,228,210,385,0,0,0,0
340,365,376,380,377,374,359,349,331,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
