57,47,48,49,50,51,58,63,68,81,95,98,110,113,0,0,0,0,0,0,0,0,0
46,43,30,25,26,18,20,21,28,32,33,44,53,65,69,78,88,89,96,162,169,194,0
56,29,15,3,1,5,7,8,13,14,35,40,45,71,90,101,126,143,206,261,0,0,0
91,72,73,55,41,23,10,4,2,6,9,12,22,34,36,54,70,100,125,145,161,0,0
116,42,37,24,16,17,11,19,27,31,38,39,52,64,82,99,124,142,160,174,231,0,0
66,59,60,61,62,67,77,86,87,94,109,123,136,149,168,179,189,0,0,0,0,0,0
115,102,103,105,106,112,119,121,128,132,139,140,147,154,159,166,177,188,196,210,218,0,0
138,152,163,172,176,181,186,192,202,214,215,228,229,235,246,247,254,405,406,0,0,0,0
146,156,170,191,207,221,234,240,251,258,259,265,274,279,280,281,282,283,284,0,0,0,0
190,197,225,249,263,272,291,303,318,319,331,332,320,321,322,323,324,314,308,0,0,0,0
175,212,248,277,301,317,329,350,362,363,364,365,376,366,367,354,356,344,333,327,315,0,0
219,257,290,312,337,360,373,383,374,394,395,396,387,389,401,391,380,369,371,359,346,336,316
211,239,271,288,311,348,372,382,393,403,397,398,399,400,402,390,392,381,370,358,347,335,0
220,262,300,338,349,361,375,384,385,386,388,377,378,379,368,355,357,345,334,328,310,299,0
184,198,199,232,264,289,302,313,330,339,351,352,353,340,341,342,343,325,326,309,298,287,276
130,151,180,200,233,250,273,278,292,293,294,304,305,306,307,295,296,297,0,0,0,0,0
131,157,171,185,201,213,226,227,241,244,245,252,253,260,266,267,268,269,270,285,286,275,0
153,158,164,165,182,187,195,203,204,208,216,222,230,236,242,0,0,0,0,0,0,0,0
111,117,120,129,133,134,141,148,155,167,173,178,183,193,205,209,217,223,224,237,243,255,256
104,79,83,80,84,85,92,93,97,107,108,118,122,135,144,0,0,0,0,0,0,0,0
