462,434,409,378,341,332,317,310,301,289,300,287,308,253,213,196,180,170,161,154,153,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,478,461,442,425,416,396,385,370,354,364,352,363,362,350,299,283,265,264,248,238,229,227,226,225,212,211,210,193,607,192,0,0,0,0,0,0,0,0,0,0,0
527,522,511,493,487,477,467,451,433,432,424,408,407,406,393,392,384,368,349,348,340,339,338,324,315,314,307,296,285,281,280,279,270,262,269,245,209,201,610,609,608,200
452,488,533,555,559,558,553,550,544,538,532,521,510,492,486,475,460,449,441,431,423,422,414,404,403,402,401,391,382,374,360,345,330,322,313,0,0,0,0,0,0,0
582,588,587,581,577,569,562,557,548,537,526,519,508,501,485,474,459,457,456,455,454,446,438,429,412,399,381,367,343,328,312,294,276,0,0,0,0,0,0,0,0,0
554,578,605,604,603,597,589,586,566,556,547,531,518,507,500,505,499,497,496,482,470,465,445,427,411,388,366,335,320,293,275,0,0,0,0,0,0,0,0,0,0,0
598,602,601,600,606,599,593,585,584,572,552,539,529,524,523,512,503,494,480,463,443,418,380,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,580,590,596,595,594,592,591,583,579,571,563,560,545,534,515,514,513,504,495,490,479,453,435,417,410,379,359,319,0,0,0,0,0,0,0,0,0,0,0,0,0
568,567,576,575,574,573,565,564,561,551,546,535,516,498,481,469,468,464,444,436,419,397,387,371,358,326,304,274,259,223,243,0,0,0,0,0,0,0,0,0,0,0
543,549,542,541,540,536,530,525,517,506,491,483,471,466,437,428,420,398,389,372,365,334,327,311,292,273,258,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,476,520,509,502,484,473,472,458,447,439,430,413,400,390,373,344,336,329,321,305,295,278,277,268,261,260,252,244,235,222,208,207,199,0,0,0,0,0,0,0,0
448,440,421,405,383,375,361,347,346,337,323,306,297,236,224,202,195,194,187,186,185,179,178,169,168,167,177,176,191,0,0,0,0,0,0,0,0,0,0,0,0,0
415,394,369,351,331,325,298,286,282,271,263,247,246,237,228,203,160,139,130,121,120,111,110,109,108,107,119,118,128,127,135,134,144,151,0,0,0,0,0,0,0,0
395,376,353,309,288,266,254,239,230,214,204,188,171,162,147,146,140,89,61,46,45,43,27,33,41,40,32,39,52,50,58,71,85,97,116,126,0,0,0,0,0,0
355,290,267,241,218,189,174,163,149,142,131,123,113,102,101,91,81,80,29,19,3,2,12,1,10,8,7,23,31,57,64,84,117,136,137,0,0,0,0,0,0,0
316,249,197,182,158,143,132,114,104,95,83,82,70,69,63,62,35,22,6,5,4,17,16,14,11,9,24,37,49,65,86,0,0,0,0,0,0,0,0,0,0,0
356,302,250,234,190,183,159,150,133,125,115,105,96,94,93,92,56,36,30,21,20,18,28,15,13,26,25,38,51,59,72,98,138,0,0,0,0,0,0,0,0,0
377,342,303,284,257,221,198,184,175,166,165,157,156,155,164,173,181,148,124,103,68,55,48,47,34,44,42,54,53,60,74,73,106,129,145,0,0,0,0,0,0,0
426,386,357,318,291,272,256,242,233,232,220,219,206,205,217,216,231,240,215,172,141,122,112,100,90,88,79,78,77,76,67,66,75,87,99,0,0,0,0,0,0,0
