384,258,225,199,183,171,152,122,100,110,93,101,92,102,63,91,64,57,90,89,78,77,88,99,109,116,0,0,0,0,0,0,0,0
306,259,238,214,200,185,184,178,172,165,164,137,136,127,135,134,133,132,153,163,177,182,0,0,0,0,0,0,0,0,0,0,0,0
405,355,339,356,323,309,286,274,260,248,239,229,228,217,216,215,227,226,237,247,257,268,256,273,267,255,244,236,548,223,0,0,0,0
419,414,406,391,377,366,357,351,343,326,325,324,316,307,299,285,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,449,450,443,444,431,432,421,420,409,408,407,399,398,390,376,365,350,340,332,298,297,305,304,295,281,272,266,254,243,0,0,0,0
428,404,448,486,491,492,493,488,494,487,477,467,454,451,437,430,413,397,375,364,349,331,322,315,294,280,265,235,0,0,0,0,0,0
497,510,522,523,529,534,525,524,526,530,514,516,515,503,498,483,461,442,436,418,396,383,363,348,338,0,0,0,0,0,0,0,0,0
460,482,513,528,542,541,540,539,544,543,538,533,521,520,519,509,502,481,459,447,435,417,395,362,347,303,0,0,0,0,0,0,0,0
501,518,527,537,532,536,531,535,517,512,508,500,479,473,458,453,441,427,412,403,389,374,0,0,0,0,0,0,0,0,0,0,0,0
465,480,466,490,496,507,511,506,505,504,499,495,489,478,471,472,457,456,438,426,411,402,388,380,361,360,354,337,552,553,0,0,0,0
464,470,469,468,463,462,455,452,446,445,433,424,416,401,393,387,370,371,359,346,336,330,320,313,293,551,550,549,0,0,0,0,0,0
440,439,434,425,423,422,415,410,400,392,385,379,378,367,358,353,345,334,329,318,319,302,290,291,279,271,263,0,0,0,0,0,0,0
373,372,394,386,369,368,352,344,333,328,327,317,311,300,287,288,289,277,278,269,262,250,241,242,232,220,221,233,251,0,0,0,0,0
335,312,301,276,275,261,249,240,230,231,218,207,206,208,209,210,211,203,190,191,192,193,194,195,196,204,547,0,0,0,0,0,0,0
292,270,219,189,179,173,166,154,155,138,139,140,141,142,143,144,145,146,147,157,159,167,174,180,187,0,0,0,0,0,0,0,0,0
264,234,186,158,156,123,117,118,95,94,81,80,79,65,67,69,68,71,70,82,96,103,104,111,112,124,128,148,168,181,546,0,0,0
321,252,253,197,149,113,105,72,52,37,39,20,38,26,22,21,24,23,27,41,40,48,58,73,83,106,114,125,129,160,175,545,0,0
222,161,150,75,60,28,12,11,4,1,6,2,5,13,29,42,53,59,74,84,107,115,126,130,0,0,0,0,0,0,0,0,0,0
314,213,170,151,98,86,50,44,32,17,31,18,16,8,10,3,9,7,15,14,30,43,49,55,54,61,76,85,97,108,119,131,169,176
296,246,198,162,121,120,87,62,51,47,36,35,25,34,33,46,45,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
