215,167,146,120,108,77,75,59,45,37,44,43,58,76,78,66,79,67,68,85,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,196,166,159,145,126,106,90,91,82,83,84,92,107,118,119,128,129,136,137,127,138,134,135,149,177,207,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,322,309,264,240,235,230,223,214,202,192,175,164,156,157,158,165,176,206,195,203,193,194,204,205,224,231,236,241,265,242,249,310,311,266,312,334,313,335,336,346,634,357,635,636,637,640
362,354,345,339,338,330,328,329,319,320,303,304,282,283,261,262,246,247,263,286,285,308,306,305,284,307,321,331,332,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,428,422,421,419,418,402,403,404,405,406,407,395,396,408,420,409,410,411,412,397,398,392,373,363,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,474,484,483,497,498,499,495,505,506,507,492,493,494,496,508,509,500,501,485,475,476,462,450,438,430,413,399,393,374,364,642,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,356,439,477,510,535,536,546,552,553,551,571,563,570,564,572,573,574,575,592,576,577,565,578,554,547,519,486,463,446,423,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,502,528,555,593,598,605,606,617,618,619,620,621,622,623,624,625,608,609,600,599,594,579,566,548,529,520,503,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,511,537,556,580,581,595,601,610,626,627,628,611,612,613,614,604,615,616,603,596,583,557,549,530,512,487,466,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,465,513,521,531,559,560,584,585,586,597,587,588,589,590,591,567,568,569,561,540,539,522,523,504,488,479,468,440,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,489,514,524,525,526,532,533,541,542,550,562,543,544,545,534,527,517,518,516,491,515,490,482,480,481,469,470,447,441,432,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,425,433,448,449,451,471,452,453,472,454,459,460,473,455,456,457,458,444,445,443,437,436,435,442,434,427,426,417,416,394,377,376,375,0,0,0,0,0,0,0,0,0,0,0,0,0
365,366,367,378,368,369,379,380,381,382,384,385,387,388,389,390,391,372,386,383,370,371,360,361,359,358,353,352,351,350,349,344,348,347,343,342,341,638,641,0,0,0,0,0,0,0,0
325,315,326,327,316,317,318,298,299,300,301,302,281,279,280,278,276,277,275,257,258,259,260,256,255,254,274,273,272,297,296,295,294,293,324,0,0,0,0,0,0,0,0,0,0,0,0
314,271,245,239,229,221,213,222,199,200,201,190,191,189,174,172,173,187,188,185,170,171,186,183,184,198,197,212,211,220,234,238,244,270,323,0,0,0,0,0,0,0,0,0,0,0,0
181,169,154,148,144,132,123,125,116,104,101,105,98,99,100,102,103,113,117,114,115,112,124,133,143,147,155,163,182,210,219,228,237,292,0,0,0,0,0,0,0,0,0,0,0,0,0
209,152,111,97,89,74,64,65,57,47,48,49,50,51,52,53,63,54,55,56,73,81,88,110,122,142,153,161,180,218,233,269,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,168,131,96,71,61,41,34,23,22,10,21,18,19,16,17,32,33,20,8,9,35,36,42,62,72,87,109,141,151,160,179,208,217,232,268,0,0,0,0,0,0,0,0,0,0,0
227,178,139,94,69,60,39,30,3,4,6,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,28,1,2,29,13,5,14,31,40,46,70,80,86,95,121,130,140,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
