473,483,493,505,494,495,506,497,486,463,469,456,441,443,419,410,403,396,389,363,349,330,0,0,0,0,0,0,0,0,0,0,0,0,0
393,398,404,413,423,435,448,449,450,436,437,438,439,440,427,428,418,405,388,381,353,337,314,295,277,259,239,220,196,177,172,153,146,145,0
372,373,375,384,385,376,377,367,378,368,369,370,361,356,357,352,341,336,313,308,294,254,233,0,0,0,0,0,0,0,0,0,0,0,0
365,328,322,323,318,319,312,302,299,293,290,286,275,276,272,253,249,232,205,191,206,171,164,207,214,170,0,0,0,0,0,0,0,0,0
281,262,252,246,236,229,230,218,198,199,189,190,183,161,162,144,135,128,121,122,120,129,127,134,0,0,0,0,0,0,0,0,0,0,0
331,250,212,187,142,137,133,124,125,105,107,95,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,266,234,210,173,150,118,100,90,76,68,61,55,41,42,35,37,38,48,66,71,72,73,80,85,126,0,0,0,0,0,0,0,0,0
244,203,166,108,99,82,67,46,30,23,14,11,8,4,5,9,13,28,29,39,49,56,70,114,0,0,0,0,0,0,0,0,0,0,0
279,255,221,186,165,130,97,81,74,45,40,25,20,10,7,3,1,2,6,12,19,24,33,43,79,0,0,0,0,0,0,0,0,0,0
215,184,147,115,116,88,86,57,50,44,34,26,21,22,15,16,17,18,27,31,32,36,47,65,78,0,0,0,0,0,0,0,0,0,0
354,278,260,240,208,185,178,154,148,131,117,98,92,89,83,75,58,59,60,51,52,53,54,62,63,64,69,77,84,87,91,0,0,0,0
327,315,309,296,287,285,265,261,241,226,222,209,202,192,179,180,167,158,149,140,136,132,123,109,110,111,101,102,93,94,103,104,106,112,113
343,316,310,297,288,280,273,267,256,245,235,227,216,211,197,193,181,174,168,155,156,151,143,138,139,0,0,0,0,0,0,0,0,0,0
411,397,391,392,390,382,364,358,359,350,344,339,332,321,317,311,304,301,298,289,282,269,257,251,242,228,223,217,204,194,188,175,159,157,152
429,430,431,420,412,406,399,394,383,374,366,355,345,346,329,324,305,291,274,270,263,247,237,224,213,200,182,0,0,0,0,0,0,0,0
470,479,481,482,471,472,458,459,447,434,424,417,407,400,386,360,347,334,325,306,292,283,268,258,238,225,201,160,0,0,0,0,0,0,0
501,509,513,514,520,516,521,510,503,504,484,474,460,451,425,408,401,379,351,340,320,300,284,264,0,0,0,0,0,0,0,0,0,0,0
444,480,502,519,527,531,532,528,529,530,524,518,507,496,485,475,461,452,426,409,395,387,362,348,335,326,307,271,243,248,231,195,0,0,0
445,467,492,515,517,522,523,525,526,511,512,508,500,491,464,455,442,415,402,380,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
