223,264,294,337,356,373,384,399,388,400,414,422,423,415,402,405,390,391,330,344,345,325,331,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,188,237,253,285,326,339,349,368,375,376,378,379,380,358,359,351,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,111,118,138,165,191,204,226,246,266,277,286,296,311,312,314,324,297,298,299,290,300,269,249,250,270,255,256,258,243,280,281,282,283,262,263,0,0
112,113,132,144,159,167,181,192,182,197,206,216,227,228,230,231,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,79,84,97,74,85,91,98,106,115,119,128,140,146,147,161,170,183,195,200,209,221,235,244,261,0,0,0,0,0,0,0,0,0,0,0,0,0
35,39,47,48,49,50,58,63,64,65,77,66,82,99,116,134,149,153,173,185,202,211,212,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,26,3,7,11,13,16,18,21,38,52,53,60,71,88,109,123,154,163,186,450,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,27,5,8,28,15,19,30,31,32,34,54,62,72,89,100,124,130,156,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,4,10,14,17,29,23,24,25,33,45,57,69,78,90,101,117,131,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,55,36,6,9,12,37,20,22,43,44,56,61,68,83,95,105,110,125,136,143,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,42,51,59,67,70,87,93,94,104,108,122,129,135,150,155,174,178,196,203,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,75,76,81,86,92,103,107,120,121,141,142,148,152,162,171,172,177,184,201,210,222,213,236,245,0,0,0,0,0,0,0,0,0,0,0,0,0
114,127,133,139,151,168,169,176,194,199,208,219,220,233,234,242,251,257,259,271,260,272,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,160,175,198,217,229,247,240,254,267,268,279,289,291,301,302,303,315,316,317,318,306,319,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,180,205,215,239,278,287,313,288,322,323,329,341,342,352,360,361,353,362,363,364,346,347,355,333,335,320,309,284,0,0,0,0,0,0,0,0,0
214,238,276,321,340,377,385,389,403,404,406,407,408,409,392,394,395,396,381,369,372,354,348,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,190,225,275,327,357,374,401,427,428,435,437,439,441,429,424,425,417,419,397,386,382,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,310,338,366,398,413,421,433,444,446,449,447,448,442,443,430,431,426,418,410,411,387,370,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,187,224,274,295,336,365,383,412,420,432,434,445,436,438,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
