273,288,314,354,394,417,427,454,475,517,474,473,516,514,512,469,510,464,508,507,503,497,462,461,0,0,0,0,0,0,0,0,0,0,0,0
236,255,296,334,367,402,426,451,472,515,513,511,467,465,509,505,504,500,498,495,493,490,489,488,486,483,520,479,478,458,443,421,420,0,0,0
187,225,272,311,361,385,416,425,438,449,463,506,502,501,499,496,494,492,491,522,487,485,521,519,477,457,442,433,435,422,0,0,0,0,0,0
162,161,186,207,247,271,310,323,353,360,397,396,436,446,445,444,460,459,484,482,481,480,518,476,456,441,432,431,419,418,413,408,407,357,0,0
216,215,241,278,295,309,322,339,338,358,382,388,415,423,434,440,430,412,411,410,406,405,387,380,0,0,0,0,0,0,0,0,0,0,0,0
144,151,159,168,206,231,239,252,261,267,292,306,317,330,356,363,364,371,379,378,377,370,369,0,0,0,0,0,0,0,0,0,0,0,0,0
105,109,119,118,136,135,139,149,172,178,191,203,202,219,237,260,283,290,304,316,327,328,329,0,0,0,0,0,0,0,0,0,0,0,0,0
121,89,84,77,76,82,92,95,102,108,115,123,132,147,165,182,196,200,229,244,258,275,289,298,305,319,0,0,0,0,0,0,0,0,0,0
60,54,40,38,44,49,53,59,62,75,80,90,98,111,130,154,171,190,211,228,245,259,282,0,0,0,0,0,0,0,0,0,0,0,0,0
36,24,20,15,14,18,21,28,33,43,52,55,74,86,94,112,131,146,166,177,197,212,230,276,0,0,0,0,0,0,0,0,0,0,0,0
41,32,17,10,3,2,1,4,8,7,13,22,29,34,48,56,63,87,101,114,133,148,167,183,201,0,0,0,0,0,0,0,0,0,0,0
145,67,42,12,11,6,5,9,16,19,23,30,39,45,50,57,64,70,81,91,103,116,134,143,157,173,192,213,265,0,0,0,0,0,0,0
47,37,27,26,25,31,35,46,51,58,65,71,83,88,96,104,117,126,140,155,174,184,204,220,238,250,266,523,0,0,0,0,0,0,0,0
163,79,69,68,61,66,73,72,78,85,93,97,100,110,120,124,127,137,150,158,175,193,205,221,234,251,268,277,291,0,0,0,0,0,0,0
107,106,113,122,125,129,128,141,152,156,160,169,180,179,185,194,198,214,223,222,235,240,246,262,269,284,299,307,321,320,524,0,0,0,0,0
138,142,153,164,176,181,195,199,208,224,233,232,242,248,254,253,263,270,280,286,279,285,294,293,300,308,0,0,0,0,0,0,0,0,0,0
170,189,218,227,243,249,274,281,287,297,301,313,312,318,326,325,324,333,332,345,344,343,342,341,340,352,0,0,0,0,0,0,0,0,0,0
210,217,257,264,303,315,335,347,355,368,376,386,393,392,409,401,400,399,398,391,390,389,384,383,375,374,373,351,359,337,331,336,366,349,365,0
188,209,226,256,302,348,362,404,403,429,428,455,453,452,450,439,471,470,468,466,448,437,424,0,0,0,0,0,0,0,0,0,0,0,0,0
