160,141,99,83,75,41,36,20,14,1,4,10,9,3,2,8,7,13,19,5,18,34,38,45,44,33,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,169,116,100,87,49,37,26,25,24,23,22,11,21,30,29,40,46,61,60,81,85,98,152,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,285,231,192,143,117,95,91,88,77,50,76,68,67,66,42,65,48,64,47,63,74,82,86,90,103,131,122,147,151,167,157,165,179,0,0,0,0,0,0,0,0
326,358,359,286,253,228,207,183,161,154,148,144,135,134,133,127,126,104,115,125,132,124,114,123,140,153,168,181,180,190,189,197,203,0,0,0,0,0,0,0,0,0
295,269,268,262,254,240,239,227,226,224,216,215,206,214,199,205,198,212,211,210,223,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,390,397,398,353,345,344,333,327,319,312,311,302,301,294,275,284,266,261,260,251,250,249,236,248,551,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,409,408,407,406,403,402,396,395,389,388,376,371,365,346,331,317,316,306,299,293,292,291,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,446,455,456,460,468,474,473,479,472,471,467,466,465,459,454,445,434,422,418,387,370,352,342,323,315,310,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,494,509,519,518,523,522,521,517,513,508,485,477,458,433,417,394,380,364,351,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,486,514,528,547,546,545,544,540,537,536,526,516,512,500,482,470,450,425,416,393,386,369,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,527,541,543,550,549,548,542,539,534,529,525,511,498,490,463,452,431,415,401,392,379,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493,501,520,530,535,538,533,532,531,524,515,510,505,504,489,476,462,451,440,430,424,414,400,385,378,363,350,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,464,484,492,499,497,507,506,503,496,495,488,480,475,469,461,457,448,447,436,423,413,405,399,384,373,361,349,337,330,314,0,0,0,0,0,0,0,0,0,0,0
426,432,444,443,442,441,449,439,438,437,429,428,427,420,419,412,411,404,391,383,377,372,355,348,336,322,313,309,304,297,0,0,0,0,0,0,0,0,0,0,0,0
382,381,375,374,368,367,366,362,360,357,356,354,347,335,334,329,328,320,321,307,308,303,296,287,288,278,271,272,273,274,0,0,0,0,0,0,0,0,0,0,0,0
324,305,298,289,282,281,280,279,277,270,264,263,258,257,256,255,241,242,243,244,245,232,233,234,235,246,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,283,259,230,221,202,194,187,178,177,176,175,174,173,172,171,170,185,184,186,193,200,201,208,218,219,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,237,204,166,150,138,121,112,111,102,109,108,107,105,120,119,118,129,136,145,149,155,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,238,332,325,252,213,182,159,130,113,93,80,59,71,58,56,55,54,53,52,51,69,78,84,89,92,97,110,106,96,128,137,146,156,163,188,195,209,196,220,229,0
191,139,94,62,39,35,12,28,17,16,15,27,32,31,43,57,70,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
