392,437,448,463,464,471,491,507,526,527,536,528,519,510,500,494,495,481,467,454,413,386,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,396,408,416,423,431,432,449,458,466,473,474,475,476,477,478,479,480,453,442,443,425,418,409,400,385,372,357,346,324,307,269,250,0,0,0,0,0,0,0
333,334,341,342,350,351,362,368,379,383,384,397,398,399,364,354,355,344,345,337,330,311,305,295,296,268,255,228,229,222,223,230,654,655,656,231,659,657,0,0
299,290,273,274,275,276,264,277,278,279,280,281,282,283,284,291,292,293,285,260,261,253,247,249,235,236,227,221,215,205,198,193,199,200,201,649,650,651,652,0
208,202,194,190,183,169,170,163,164,165,157,158,150,151,159,160,152,143,144,153,154,155,161,162,167,168,173,175,646,647,0,0,0,0,0,0,0,0,0,0
329,188,148,133,121,104,93,91,83,84,71,72,73,67,75,76,77,78,92,95,96,107,116,135,140,145,642,644,0,0,0,0,0,0,0,0,0,0,0,0
239,217,189,147,138,103,82,45,38,35,28,21,22,15,23,24,30,31,32,36,43,57,68,86,97,109,119,639,643,645,0,0,0,0,0,0,0,0,0,0
246,225,149,90,65,46,34,19,20,8,1,2,3,4,5,6,7,11,18,27,37,41,49,59,69,88,101,120,640,0,0,0,0,0,0,0,0,0,0,0
218,181,141,105,94,70,60,42,39,29,12,13,14,9,10,16,17,25,26,33,40,44,58,64,81,89,99,638,0,0,0,0,0,0,0,0,0,0,0,0
219,191,182,156,139,111,100,85,74,66,61,50,51,52,53,54,48,55,56,62,63,79,80,87,98,102,110,132,641,0,0,0,0,0,0,0,0,0,0,0
265,252,240,226,209,195,171,166,142,134,122,123,124,125,126,127,128,112,113,114,115,106,108,117,118,129,130,131,136,137,146,648,0,0,0,0,0,0,0,0
321,317,310,304,294,266,267,254,248,241,234,220,210,211,212,213,214,203,204,196,197,192,184,185,186,172,174,176,177,178,179,180,187,0,0,0,0,0,0,0
361,367,369,380,370,371,363,352,353,356,343,335,336,322,323,318,319,312,313,314,306,300,297,286,287,270,262,256,257,242,243,244,237,232,233,224,216,207,206,0
417,424,433,438,450,451,452,439,440,441,434,435,426,427,419,420,410,411,412,401,402,393,387,374,358,338,331,325,315,308,301,298,271,263,251,238,0,0,0,0
472,492,493,508,509,520,521,522,511,512,513,501,502,503,504,496,482,483,484,485,459,455,444,428,414,403,388,389,375,365,348,339,328,316,303,289,259,245,653,0
465,518,540,560,569,570,579,580,571,581,582,572,573,562,563,550,551,530,531,515,498,469,457,446,421,405,391,378,360,340,320,302,272,258,0,0,0,0,0,0
506,535,556,566,589,596,597,608,609,617,619,621,622,623,626,611,612,613,602,603,585,576,554,546,532,517,499,461,436,415,395,377,359,332,309,288,658,0,0,0
490,505,539,577,588,605,627,628,635,631,636,637,632,633,634,624,625,601,594,584,564,553,538,516,487,470,445,422,394,376,349,327,0,0,0,0,0,0,0,0
406,462,488,524,533,555,565,586,587,595,604,606,607,614,615,616,629,630,618,620,610,600,593,583,574,575,545,537,514,497,468,456,429,404,390,381,366,347,326,661
430,447,489,525,534,547,548,557,567,568,558,559,578,592,541,542,543,544,529,523,486,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
