152,163,179,198,216,241,257,276,296,310,316,327,330,349,355,362,383,0,0,0,0,0,0,0
130,160,193,212,229,247,258,284,309,321,340,341,353,360,371,372,381,382,390,398,403,404,393,0
112,154,185,230,248,277,311,331,342,354,361,380,389,395,399,400,402,401,392,385,375,364,356,335
98,142,186,227,264,278,290,323,333,350,373,384,391,396,397,394,387,388,379,367,357,0,0,0
165,213,238,250,298,312,324,334,343,351,363,374,377,366,368,369,370,358,359,352,346,326,0,0
116,126,147,167,187,219,252,267,280,305,320,325,336,347,337,348,338,339,329,0,0,0,0,0
81,87,93,106,122,132,143,169,188,209,215,222,240,255,268,274,282,307,308,314,315,313,306,0
60,66,78,85,94,102,110,114,128,144,156,170,184,204,228,246,261,275,283,405,0,0,0,0
46,43,47,53,57,68,74,89,95,115,134,145,159,177,197,211,225,235,256,269,406,0,0,0
37,33,22,20,23,27,35,40,48,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,7,8,11,15,18,25,36,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,4,6,10,14,17,24,28,39,51,58,71,79,91,103,119,133,155,174,189,203,254,0
30,19,12,9,21,34,44,52,61,70,84,101,109,123,137,151,173,183,202,221,234,273,0,0
29,26,31,32,38,42,45,55,65,69,77,83,88,100,108,118,136,161,172,196,214,233,253,0
49,50,54,64,67,73,80,90,99,113,117,127,148,168,178,195,208,220,239,260,272,281,0,0
59,62,63,75,76,92,107,131,135,146,166,182,194,207,218,232,244,259,266,279,288,304,319,0
86,97,111,125,140,141,153,171,181,201,206,217,231,243,251,265,271,287,300,301,302,303,318,0
72,82,96,105,129,164,180,200,205,226,237,249,263,286,291,292,293,294,299,295,0,0,0,0
121,124,162,192,199,236,242,262,270,285,289,297,317,322,332,0,0,0,0,0,0,0,0,0
