221,213,210,195,188,189,182,183,190,178,184,172,180,179,171,170,169,168,167,159,150,145,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,234,220,194,177,158,151,135,136,113,114,100,101,102,103,104,105,115,116,128,138,137,93,92,88,87,79,78,77,86,85,84,83,0,0,0,0,0
278,219,187,157,133,99,76,73,64,51,52,53,44,45,56,57,58,59,54,55,33,32,31,30,50,63,68,74,82,96,126,144,149,165,0,0,0,0
229,193,166,127,75,49,43,29,26,21,22,23,15,3,16,13,14,12,11,10,20,25,42,67,81,95,125,143,156,164,582,0,0,0,0,0,0,0
112,91,66,62,41,28,18,19,7,1,2,9,8,4,6,5,17,24,27,40,72,90,94,124,142,155,176,581,584,0,0,0,0,0,0,0,0,0
301,186,153,131,121,80,69,65,60,46,47,38,36,34,37,35,39,48,61,70,71,89,122,141,154,163,175,583,0,0,0,0,0,0,0,0,0,0
260,233,227,208,191,185,173,161,160,152,146,147,139,129,119,118,117,106,107,108,109,110,111,120,130,140,148,162,174,181,192,0,0,0,0,0,0,0
287,277,276,243,241,238,230,228,226,224,225,218,216,217,200,201,202,203,204,205,197,198,199,206,207,211,585,586,0,0,0,0,0,0,0,0,0,0
349,361,359,368,357,356,354,347,346,337,336,325,324,318,319,317,307,308,298,299,290,284,285,275,249,242,244,239,231,240,232,0,0,0,0,0,0,0
408,426,425,436,435,434,433,432,431,423,422,414,415,405,406,394,389,374,366,355,348,326,320,309,291,286,257,250,0,0,0,0,0,0,0,0,0,0
427,469,480,506,505,504,503,502,501,493,494,495,491,492,488,489,490,484,466,458,450,443,437,424,416,407,379,367,358,338,327,310,300,258,587,0,0,0
459,498,515,524,542,554,553,551,552,550,549,559,547,548,546,539,540,541,523,514,507,496,485,467,468,451,444,438,417,395,380,369,360,339,0,0,0,0
509,516,533,543,557,564,563,578,575,576,577,574,572,573,571,562,560,561,556,555,532,525,508,497,486,470,452,445,439,418,396,381,370,350,328,311,0,0
482,511,518,535,545,570,569,579,580,565,566,568,567,558,544,534,526,517,510,499,481,471,453,446,428,419,397,382,371,351,329,292,588,0,0,0,0,0
448,472,487,521,522,530,531,537,538,536,529,528,520,519,512,513,500,483,474,461,460,447,440,429,420,390,383,362,340,312,302,0,0,0,0,0,0,0
441,454,455,462,475,476,477,478,479,464,463,465,456,457,449,442,430,421,410,399,398,384,376,375,363,341,330,0,0,0,0,0,0,0,0,0,0,0
385,391,400,401,411,402,412,413,403,404,392,393,387,388,386,378,377,373,372,364,365,353,352,344,332,321,315,314,313,303,293,0,0,0,0,0,0,0
342,343,345,333,334,335,322,323,304,305,316,306,296,297,289,283,282,274,273,272,256,271,270,268,267,254,253,247,246,265,264,263,262,261,280,279,252,251
331,294,295,288,281,266,269,255,248,235,236,237,215,223,222,214,212,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
