25,8,4,5,13,18,31,33,48,52,63,82,93,109,122,141,0,0,0,0,0,0,0,0,0,0
6,11,15,26,38,44,53,65,83,101,123,150,170,188,208,231,245,263,286,302,310,321,337,343,0,0
10,19,20,27,34,49,58,66,78,85,102,115,134,166,200,224,246,277,276,285,292,301,0,0,0,0
42,29,24,37,43,50,54,67,74,96,111,125,144,174,194,218,248,278,0,0,0,0,0,0,0,0
64,71,84,98,119,124,143,151,167,183,201,209,225,252,279,287,303,323,322,329,338,0,0,0,0,0
131,169,160,142,165,182,199,214,223,247,264,280,304,320,331,350,349,358,357,356,0,0,0,0,0,0
68,81,97,114,133,159,181,193,207,230,244,262,275,293,311,330,339,348,359,363,375,374,381,380,373,355
129,164,187,217,235,257,274,296,318,336,354,372,386,392,391,390,385,379,0,0,0,0,0,0,0,0
148,163,205,238,267,291,308,316,327,342,347,353,367,370,371,383,387,388,389,384,378,0,0,0,0,0
95,113,152,172,196,221,241,261,271,295,298,314,326,334,345,352,361,365,368,376,382,377,369,362,0,0
76,89,139,168,190,220,233,250,259,281,282,294,305,312,324,332,340,344,351,360,364,366,0,0,0,0
117,146,171,184,202,219,232,249,253,258,265,269,288,297,306,313,325,333,335,341,346,0,0,0,0,0
69,86,103,126,145,175,189,204,215,226,236,251,260,270,283,289,299,307,315,328,0,0,0,0,0,0
99,116,137,155,161,176,185,195,210,216,234,242,254,266,272,290,300,0,0,0,0,0,0,0,0,0
61,75,94,104,120,127,135,138,156,157,177,178,191,203,211,227,237,255,268,0,0,0,0,0,0,0
35,39,45,57,70,79,88,100,112,128,132,147,162,179,192,206,228,243,256,273,317,309,0,0,0,0
22,21,28,40,46,55,62,77,80,90,105,118,136,154,173,186,197,212,229,0,0,0,0,0,0,0
7,12,23,32,41,51,59,72,91,106,130,149,158,180,198,213,222,239,240,284,0,0,0,0,0,0
16,2,1,3,9,14,17,30,36,47,56,60,73,92,107,121,140,153,0,0,0,0,0,0,0,0
