395,328,307,287,268,247,228,201,189,171,166,155,146,132,131,130,145,143,0,0,0,0,0,0,0,0,0,0,0
367,363,371,353,335,315,291,279,265,252,239,219,213,200,188,187,198,197,195,0,0,0,0,0,0,0,0,0,0
420,405,394,377,362,348,340,327,306,296,281,271,251,246,232,225,212,180,164,153,163,152,127,121,76,0,0,0,0
402,417,430,424,416,404,392,376,361,345,325,313,303,290,264,245,224,211,194,210,179,186,178,151,120,110,102,100,137
436,438,425,419,409,401,387,375,360,347,333,322,276,258,244,223,205,193,177,161,141,0,0,0,0,0,0,0,0
452,451,447,441,433,428,423,407,399,385,380,364,346,324,299,274,250,230,208,192,169,160,138,119,0,0,0,0,0
435,453,455,454,439,431,421,412,396,382,370,357,337,310,294,269,242,168,0,0,0,0,0,0,0,0,0,0,0
384,393,410,448,450,449,446,445,437,426,418,403,389,372,355,338,309,283,257,241,183,158,0,0,0,0,0,0,0
444,443,442,440,432,427,411,406,397,390,378,368,354,341,336,319,298,272,256,234,221,204,150,0,0,0,0,0,0
434,429,422,413,398,391,379,373,369,356,342,330,320,304,292,273,261,248,233,215,203,175,156,135,0,0,0,0,0
415,414,408,400,386,374,365,351,343,332,323,311,302,293,284,280,262,249,235,222,207,190,176,157,134,117,0,0,0
388,383,366,358,339,321,312,300,288,285,275,270,254,243,236,216,191,184,167,159,136,125,118,108,97,98,0,0,0
352,344,334,305,289,277,263,255,237,231,217,209,185,170,162,140,139,126,109,101,99,75,74,50,49,48,0,0,0
316,295,259,238,218,196,181,165,142,123,122,105,104,62,83,60,82,80,78,77,55,53,7,6,5,4,1,0,0
326,301,278,226,199,154,129,144,113,112,89,88,71,70,87,25,66,64,61,59,58,57,12,10,8,0,0,0,0
317,297,260,220,182,147,114,92,72,43,39,38,36,33,32,29,69,67,85,84,20,18,16,14,11,52,51,0,0
359,314,266,227,214,172,124,107,95,94,46,44,41,35,30,27,68,86,65,21,19,457,456,81,103,79,56,54,0
318,286,267,240,202,173,148,116,96,73,47,45,42,40,37,3,34,31,28,26,24,23,22,63,17,15,13,2,9
349,329,308,282,253,229,206,174,149,133,115,106,93,91,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
