191,196,209,219,228,237,262,284,298,307,313,322,327,332,368,0,0,0,0,0,0,0,0,0,0,0,0,0
220,263,299,308,323,335,337,343,361,360,379,378,392,390,388,385,367,347,296,0,0,0,0,0,0,0,0,0
159,178,186,202,229,273,300,309,324,351,362,370,382,381,401,398,395,408,391,405,386,376,374,366,346,330,326,0
152,176,208,253,285,303,328,338,363,371,403,410,402,399,397,409,407,406,387,377,383,373,365,354,0,0,0,0
227,252,293,314,334,350,369,400,380,396,394,393,389,404,384,375,372,364,352,344,340,311,0,0,0,0,0,0
136,151,185,200,218,260,281,297,306,321,320,333,331,342,341,349,348,359,358,357,356,355,353,345,339,336,329,304
158,184,199,216,234,251,257,279,278,289,301,305,312,319,318,317,316,325,315,310,412,0,0,0,0,0,0,0
111,110,109,121,128,127,150,156,169,173,194,205,213,224,240,239,248,255,274,282,286,295,294,0,0,0,0,0
85,84,74,73,72,82,80,88,98,104,107,117,125,139,148,147,161,181,192,211,221,231,245,254,264,411,244,0
54,44,37,43,42,58,61,67,78,91,102,119,132,146,160,180,210,230,0,0,0,0,0,0,0,0,0,0
47,31,21,16,15,19,25,40,52,60,71,87,96,115,131,166,179,0,0,0,0,0,0,0,0,0,0,0
38,32,18,12,8,3,2,1,6,10,13,29,36,56,63,86,97,105,124,137,153,171,238,0,0,0,0,0
51,39,28,24,9,5,4,7,11,14,26,34,41,57,66,77,92,106,133,154,167,187,0,0,0,0,0,0
33,23,22,17,20,27,30,35,49,59,64,79,93,103,116,138,155,168,188,203,222,246,0,0,0,0,0,0
113,55,48,46,45,50,53,62,68,81,89,99,108,126,140,162,172,193,212,223,247,275,265,0,0,0,0,0
76,65,70,69,75,83,90,100,118,120,134,141,149,163,174,182,197,204,225,232,249,266,0,0,0,0,0,0
95,94,101,112,122,135,142,157,170,183,189,198,206,215,226,233,241,250,256,288,276,0,0,0,0,0,0,0
145,165,143,164,175,190,195,207,217,235,242,259,258,272,271,270,269,268,267,277,0,0,0,0,0,0,0,0
130,114,123,129,144,177,201,214,236,243,261,280,283,292,291,290,0,0,0,0,0,0,0,0,0,0,0,0
