253,245,244,240,239,232,231,214,223,222,204,213,203,212,211,210,0,0,0,0,0,0,0,0,0,0,0,0,0
304,284,298,295,294,287,283,282,281,275,274,266,265,264,263,258,257,256,0,0,0,0,0,0,0,0,0,0,0
312,328,329,333,335,334,332,327,324,323,319,310,301,297,293,279,251,243,229,219,218,228,217,0,0,0,0,0,0
303,342,350,361,366,365,374,373,372,364,360,362,357,349,340,322,309,292,278,262,0,0,0,0,0,0,0,0,0
379,387,391,396,395,394,393,385,384,377,370,355,339,326,308,291,277,260,0,0,0,0,0,0,0,0,0,0,0
363,378,386,400,399,398,392,397,389,388,375,369,358,347,338,315,290,271,0,0,0,0,0,0,0,0,0,0,0
311,341,345,356,371,376,383,382,390,381,380,368,367,351,343,325,306,289,270,255,0,0,0,0,0,0,0,0,0
331,344,348,359,354,353,352,346,337,336,330,320,305,299,285,269,247,233,0,0,0,0,0,0,0,0,0,0,0
302,318,317,321,316,314,313,307,300,296,288,286,276,268,267,254,246,241,226,215,206,196,191,0,0,0,0,0,0
273,272,261,250,249,248,242,234,227,216,207,200,195,194,190,183,177,170,171,0,0,0,0,0,0,0,0,0,0
280,252,235,220,208,201,198,192,187,197,186,179,178,185,173,167,166,165,158,157,150,147,146,145,144,148,172,184,402
236,230,209,202,188,174,159,151,138,133,132,129,128,126,125,124,114,113,112,111,110,109,107,106,108,0,0,0,0
181,160,140,121,85,83,77,66,53,52,51,50,64,47,62,61,60,59,74,73,72,80,115,127,0,0,0,0,0
141,99,69,35,28,20,15,13,12,11,18,26,25,31,30,41,49,48,63,81,116,0,0,0,0,0,0,0,0
162,142,91,70,37,23,16,6,4,2,1,3,14,19,27,32,42,54,65,75,82,117,137,401,0,0,0,0,0
168,122,71,29,24,17,10,9,8,7,5,22,21,34,33,43,55,67,76,94,118,134,180,0,0,0,0,0,0
221,164,135,105,93,79,58,46,40,39,38,36,45,44,57,56,68,78,84,95,119,130,139,149,0,0,0,0,0
237,193,176,156,143,136,131,123,104,92,103,102,101,100,98,97,90,89,88,87,86,96,120,0,0,0,0,0,0
259,238,224,225,205,199,189,182,175,169,163,155,154,153,152,161,0,0,0,0,0,0,0,0,0,0,0,0,0
