116,110,102,101,98,90,89,88,96,95,94,93,108,107,106,113,126,134,133,142,166,184,198,0,0,0,0,0,0,0,0,0
181,180,179,169,163,156,151,150,149,148,153,161,160,168,172,178,176,185,201,217,239,245,0,0,0,0,0,0,0,0,0,0
216,223,222,221,220,231,229,237,243,241,249,248,247,253,267,292,301,307,280,290,499,300,315,306,279,273,274,264,0,0,0,0
224,259,263,287,286,296,312,311,320,319,329,328,327,336,335,334,333,332,346,354,353,352,345,344,331,305,298,299,322,314,316,0
340,369,373,380,383,396,395,415,414,404,412,403,401,400,393,386,377,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,244,384,406,405,433,435,443,446,452,451,461,460,468,467,459,458,457,445,441,425,398,391,385,376,350,0,0,0,0,0,0
303,338,417,436,447,463,475,477,481,489,495,494,493,492,485,484,480,464,456,439,444,434,418,409,392,381,351,0,0,0,0,0
361,390,431,438,455,454,479,478,483,482,491,490,488,487,486,476,465,449,440,424,410,378,0,0,0,0,0,0,0,0,0,0
288,304,330,375,408,423,437,448,453,462,473,472,474,471,470,469,466,450,442,432,419,399,387,379,0,0,0,0,0,0,0,0
339,342,374,389,397,407,416,422,430,429,428,427,421,426,420,413,411,402,394,388,382,0,0,0,0,0,0,0,0,0,0,0
250,256,289,272,278,297,313,321,337,341,349,348,347,360,359,358,357,368,372,371,367,370,366,365,364,363,356,355,0,0,0,0
205,211,225,232,238,258,262,261,271,270,277,285,284,283,295,294,293,310,309,308,318,317,326,325,324,323,0,0,0,0,0,0
158,157,164,170,174,188,187,191,190,196,195,199,204,208,215,219,230,236,235,242,255,254,257,269,268,276,282,302,0,0,0,0
122,112,111,118,117,121,128,129,138,137,144,143,155,154,162,173,186,194,203,207,218,228,240,252,260,275,291,281,0,0,0,0
82,80,65,57,55,54,53,63,62,69,74,81,97,109,115,127,136,140,152,167,177,189,202,214,234,246,0,0,0,0,0,0
67,44,38,24,18,16,15,23,29,28,37,41,46,61,79,87,100,114,135,147,159,175,193,206,227,0,0,0,0,0,0,0
66,34,19,11,10,6,4,2,8,14,21,36,40,51,72,77,86,120,132,146,171,192,213,0,0,0,0,0,0,0,0,0
58,43,33,17,9,5,3,1,7,13,20,25,35,50,71,85,103,124,131,145,165,183,197,212,233,251,265,266,0,0,0,0
56,31,30,22,27,26,32,39,45,68,59,76,83,104,119,123,130,200,226,0,0,0,0,0,0,0,0,0,0,0,0,0
139,91,75,70,64,49,48,42,47,52,60,73,78,84,92,105,125,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
