299,298,307,315,314,323,313,322,312,310,305,304,303,321,320,319,0,0,0,0,0,0,0,0
293,316,329,343,356,370,369,368,367,361,355,354,352,351,349,347,334,326,302,288,0,0,0,0
271,292,328,358,357,374,381,380,396,394,393,392,387,377,373,365,353,346,332,296,285,0,0,0
306,342,371,388,399,402,411,410,409,406,404,398,397,384,376,364,345,331,317,301,290,284,0,0
379,395,401,408,407,405,403,400,389,375,360,344,324,309,295,260,418,0,0,0,0,0,0,0
341,362,366,378,386,385,391,390,383,382,372,363,359,330,308,289,273,256,247,417,0,0,0,0
291,297,311,327,339,338,337,350,348,336,335,333,325,318,300,294,287,272,255,243,223,214,0,0
253,252,258,267,278,286,276,275,274,263,262,261,257,251,250,244,242,240,227,218,213,416,0,0
224,222,221,220,217,216,215,211,210,209,206,205,204,203,202,201,200,190,189,188,0,0,0,0
248,198,182,166,159,150,149,143,138,135,133,132,141,140,146,153,152,157,156,161,176,0,0,0
113,93,83,72,71,80,79,78,86,98,103,102,107,106,119,130,139,151,413,0,0,0,0,0
116,101,73,58,43,42,41,15,40,38,37,47,53,62,68,76,75,84,95,105,0,0,0,0
94,59,31,27,2,20,17,13,10,8,6,5,35,45,52,61,67,85,96,412,414,0,0,0
87,60,44,30,28,26,23,21,18,16,11,9,7,4,36,46,63,69,77,90,97,120,415,0
88,66,34,3,33,32,29,25,24,22,19,14,12,39,54,64,70,91,99,108,131,147,0,0
145,118,89,74,51,50,49,48,57,56,55,65,82,81,92,100,104,121,126,142,154,162,177,0
160,144,129,117,115,114,112,111,110,125,124,123,128,137,136,122,134,127,148,155,158,167,178,191
226,199,187,184,183,175,174,173,172,181,171,170,180,186,197,169,165,164,163,168,0,0,0,0
239,238,237,236,235,234,233,232,231,230,229,228,219,212,207,196,195,194,193,192,179,185,0,0
225,245,246,249,254,259,270,269,283,282,281,280,279,268,266,265,264,277,0,0,0,0,0,0
