9,11,13,14,19,26,33,39,40,49,51,65,66,79,83,94,104,117,129,140,164,183,0,0,0,0,0,0,0,0,0,0,0
44,35,30,21,22,23,32,37,42,47,59,64,71,87,93,107,128,145,165,184,206,224,249,273,306,319,337,358,375,465,374,396,0
72,61,52,53,54,56,62,74,77,86,97,100,106,126,134,153,155,173,188,216,243,269,297,0,0,0,0,0,0,0,0,0,0
80,84,90,96,112,113,125,132,151,157,176,194,223,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,123,131,150,162,180,186,205,211,222,239,255,270,287,309,330,343,357,364,381,387,408,414,415,0,0,0,0,0,0,0,0,0
143,156,178,204,210,227,247,260,266,281,282,294,315,329,349,363,386,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,137,160,177,198,217,237,250,275,280,301,323,340,361,370,379,400,406,413,423,431,432,433,0,0,0,0,0,0,0,0,0,0
108,136,170,196,226,235,258,292,299,322,345,360,383,397,411,427,442,444,452,453,455,448,0,0,0,0,0,0,0,0,0,0,0
146,166,195,234,257,283,311,344,367,389,409,417,434,440,449,451,457,459,461,463,454,0,0,0,0,0,0,0,0,0,0,0,0
185,202,230,262,298,310,338,339,365,366,388,390,410,416,424,435,439,441,450,456,458,460,462,447,0,0,0,0,0,0,0,0,0
141,169,207,229,253,290,320,321,351,359,376,382,391,404,418,419,425,426,436,437,443,445,446,438,0,0,0,0,0,0,0,0,0
142,159,189,203,225,244,263,284,291,312,325,326,346,352,368,369,377,384,392,398,399,405,412,420,421,428,429,430,422,0,0,0,0
147,167,174,197,208,219,236,245,254,264,274,285,300,307,313,327,332,347,348,353,371,378,385,393,394,401,402,407,0,0,0,0,0
88,105,103,109,121,138,148,168,175,191,209,220,231,240,246,259,265,276,286,293,308,314,328,333,341,354,362,372,380,0,0,0,0
67,76,89,98,110,119,122,139,149,161,179,192,213,221,238,241,251,267,277,302,324,334,342,0,0,0,0,0,0,0,0,0,0
50,55,68,73,85,95,111,124,135,154,171,190,200,212,218,228,248,261,271,288,303,316,335,355,356,373,403,0,0,0,0,0,0
27,28,29,36,45,57,69,81,92,99,115,133,152,172,187,193,214,232,252,268,278,295,317,0,0,0,0,0,0,0,0,0,0
34,8,6,10,12,17,24,31,41,46,58,63,78,91,101,116,130,158,181,201,215,233,242,256,272,305,336,350,0,0,0,0,0
20,16,5,3,1,4,7,15,18,25,38,43,48,60,75,82,102,114,127,144,163,182,0,0,0,0,0,0,0,0,0,0,0
