390,394,395,400,401,402,403,410,427,437,438,444,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,270,280,281,288,289,290,291,296,297,299,300,309,310,311,321,337,345,352,360,361,362,364,426,436,443,455,464,472,474,485,486,496,497,507,508,521,522,523,524,538,548,551,562,552,553,529,500,539,530,512
307,335,359,369,380,389,393,408,409,414,415,416,418,419,420,421,422,423,424,425,435,495,520,547,561,572,584,593,602,617,618,620,622,624,605,606,594,585,489,490,465,0,0,0,0,0,0,0,0,0,0
336,379,406,433,453,457,484,502,518,534,542,543,545,546,536,537,519,503,504,505,506,494,550,581,616,645,663,671,680,681,682,688,689,683,677,672,654,646,627,609,587,574,554,531,480,0,0,0,0,0,0
516,533,556,564,595,610,630,631,632,633,634,612,597,590,591,580,567,661,675,686,699,703,709,712,713,715,710,706,700,697,678,655,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,557,588,596,637,657,666,667,668,669,670,658,651,653,641,643,635,614,660,674,698,702,708,711,717,714,716,705,707,701,685,665,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,434,458,517,541,589,611,638,647,648,649,650,652,639,640,642,636,613,615,598,644,662,676,679,687,691,692,693,704,694,695,696,690,684,673,664,656,629,576,0,0,0,0,0,0,0,0,0,0,0,0
407,440,459,493,535,544,549,558,565,577,566,578,579,568,569,570,571,559,560,582,583,599,600,601,603,604,619,621,623,625,626,607,608,586,573,563,555,540,515,532,513,514,491,0,0,0,0,0,0,0,0
318,344,351,381,399,417,441,442,448,454,460,461,462,463,466,467,468,469,470,471,473,475,476,477,478,479,487,498,499,509,525,526,527,528,510,511,501,481,482,0,0,0,0,0,0,0,0,0,0,0,0
292,298,308,319,320,327,338,346,347,353,363,365,366,371,372,382,383,384,385,373,374,367,354,355,368,375,376,386,387,396,397,411,428,429,439,445,446,450,451,452,456,0,0,0,0,0,0,0,0,0,0
219,214,205,208,209,216,217,222,226,227,238,239,244,245,254,255,263,271,272,273,274,275,276,264,257,247,240,248,249,258,265,283,294,302,326,330,341,356,377,391,398,404,431,447,483,0,0,0,0,0,0
152,143,128,129,131,118,119,132,133,134,138,140,145,150,154,159,168,169,174,175,176,177,179,161,163,164,166,180,189,199,218,223,242,251,268,286,316,343,358,378,392,432,413,405,0,0,0,0,0,0,0
127,90,77,61,54,49,38,39,35,40,41,43,51,62,63,74,82,92,93,96,97,107,108,109,98,112,114,125,141,147,151,173,185,191,211,224,261,287,306,350,0,0,0,0,0,0,0,0,0,0,0
53,34,24,18,13,5,6,7,10,15,16,22,26,33,36,45,52,59,65,70,76,79,84,85,86,87,88,94,99,115,126,142,156,167,183,201,235,262,317,334,0,0,0,0,0,0,0,0,0,0,0
37,28,9,4,2,1,3,8,11,20,21,30,32,44,58,64,75,83,106,122,123,110,111,113,124,135,146,155,182,186,212,234,279,305,333,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,66,46,27,23,17,12,14,19,25,29,31,42,57,69,73,91,121,158,187,188,178,170,171,160,162,165,172,181,190,200,210,233,243,260,278,304,332,357,388,430,0,0,0,0,0,0,0,0,0,0
149,100,89,71,67,60,47,48,55,50,56,68,72,78,81,95,105,120,139,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,148,136,116,101,102,103,104,117,130,137,144,197,252,253,198,184,282,256,246,228,229,230,231,232,241,250,259,266,267,277,284,285,295,303,315,331,342,349,718,724,0,0,0,0,0,0,0,0,0,0
213,202,203,192,193,194,195,196,204,206,207,215,220,221,225,236,237,293,312,322,348,339,323,313,301,314,324,325,328,329,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
