440,475,500,520,539,538,548,560,559,573,558,576,557,555,551,544,543,531,509,504,492,477,460,438,421,409,0,0,0,0,0,0,0,0,0,0,0
418,435,455,474,499,507,527,536,535,526,524,523,511,505,494,488,487,470,451,443,428,372,354,337,327,302,270,592,0,0,0,0,0,0,0,0,0
332,360,371,385,413,426,434,449,453,446,465,473,484,483,482,481,480,471,463,452,444,430,422,414,410,373,367,351,338,308,277,251,250,0,0,0,0
359,365,382,401,400,399,398,397,396,395,394,392,390,389,388,381,380,375,362,361,355,347,339,323,303,278,0,0,0,0,0,0,0,0,0,0,0
321,320,318,315,314,313,312,311,307,306,305,296,295,294,286,280,279,263,260,252,244,231,220,214,230,229,596,595,594,593,213,0,0,0,0,0,0
343,255,247,239,234,224,223,208,207,199,198,197,193,187,186,185,179,173,170,168,161,165,160,159,158,157,151,150,149,156,590,0,0,0,0,0,0
269,236,212,183,162,144,142,137,121,108,97,96,95,89,88,87,80,78,64,76,85,93,101,106,105,125,585,0,0,0,0,0,0,0,0,0,0
262,241,195,154,122,99,90,82,59,52,42,35,34,25,19,18,17,11,16,9,15,23,29,39,48,61,74,92,581,583,0,0,0,0,0,0,0
191,148,110,104,84,47,38,22,12,7,6,5,3,2,1,4,10,8,14,13,30,43,49,62,584,0,0,0,0,0,0,0,0,0,0,0,0
276,196,155,124,227,73,60,46,45,37,36,28,27,26,21,20,24,33,32,31,41,40,44,50,53,63,75,582,588,586,589,0,0,0,0,0,0
228,192,164,147,133,123,109,103,100,91,83,81,72,71,70,69,68,58,57,56,55,54,67,66,65,79,77,86,94,102,107,126,587,591,0,0,0
275,257,242,219,203,194,184,177,163,153,146,145,143,141,138,136,135,131,130,129,120,119,118,117,116,114,113,112,111,128,127,134,140,139,0,0,0
322,301,290,274,268,267,256,249,248,240,235,226,225,218,217,211,210,209,202,201,200,190,189,188,182,181,180,176,175,174,172,171,169,167,166,178,0
350,346,345,344,336,335,334,331,326,319,317,316,300,299,298,289,288,282,273,266,261,254,246,245,238,233,222,216,215,206,205,204,0,0,0,0,0
377,386,407,406,405,404,403,402,384,383,376,370,364,358,357,353,349,342,330,325,304,287,281,265,264,253,232,237,221,0,0,0,0,0,0,0,0
420,442,441,458,457,456,468,467,450,466,454,448,447,439,433,425,424,416,412,393,369,363,356,348,341,329,310,293,285,272,259,0,0,0,0,0,0
378,437,476,485,502,501,508,519,518,517,516,528,515,506,498,497,496,490,472,464,445,432,423,411,379,368,352,340,328,324,309,291,284,271,258,243,597
408,427,469,486,521,530,549,564,563,562,561,547,546,537,545,534,533,513,512,495,489,479,462,431,415,387,374,333,283,0,0,0,0,0,0,0,0
366,419,436,459,491,503,529,540,565,575,580,579,578,572,569,567,554,550,532,522,510,493,478,461,429,0,0,0,0,0,0,0,0,0,0,0,0
