145,138,117,109,84,83,71,72,73,65,64,70,94,56,81,47,36,46,55,61,68,77,92,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,175,144,108,82,63,50,51,41,26,25,24,23,22,21,20,19,40,39,38,15,14,12,32,30,44,60,67,76,86,95,123,133,157,184,227,0,0,0,0,0,0,0,0,0,0
161,173,126,116,79,69,49,48,37,18,8,6,7,5,4,3,1,2,17,16,13,11,10,9,28,27,42,53,66,75,101,102,132,169,183,215,246,696,286,287,0,0,0,0,0,0
254,281,232,180,136,115,98,78,62,54,45,35,34,33,31,29,43,59,52,58,57,74,100,111,121,140,148,156,182,214,225,226,245,277,296,305,0,0,0,0,0,0,0,0,0,0
231,191,159,141,149,134,128,114,104,96,91,90,89,88,87,85,103,113,112,122,120,119,127,147,152,178,196,205,224,244,260,276,294,295,304,0,0,0,0,0,0,0,0,0,0,0
271,270,250,238,230,217,207,200,198,199,190,189,179,187,188,186,185,197,206,213,212,204,211,209,210,223,237,243,259,267,268,275,285,300,301,302,303,698,697,0,0,0,0,0,0,0
360,383,376,373,371,369,355,353,352,351,368,350,349,334,333,318,317,316,315,314,332,331,330,348,347,327,346,345,365,343,342,363,340,341,324,362,325,326,364,344,366,380,381,367,329,0
471,427,425,439,459,457,456,455,454,453,451,450,448,447,469,470,468,467,492,478,491,476,465,443,436,435,416,414,415,410,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,502,520,540,538,550,549,569,568,547,567,566,565,563,562,584,561,559,557,556,545,534,533,516,515,499,477,466,444,437,417,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,552,572,608,613,620,632,641,640,656,654,653,652,651,650,649,648,638,630,628,629,627,616,611,610,594,583,560,558,536,535,517,504,493,445,422,405,700,0,0,0,0,0,0,0,0
525,531,589,621,658,669,668,673,672,671,679,690,678,689,688,687,686,685,677,665,655,639,618,617,604,603,586,585,564,546,529,512,505,479,0,0,0,0,0,0,0,0,0,0,0,0
497,574,600,623,637,644,670,676,675,674,684,694,693,692,691,683,682,681,680,667,666,657,642,634,633,606,605,596,595,548,537,518,506,494,449,423,0,0,0,0,0,0,0,0,0,0
526,543,579,593,592,602,609,615,626,624,625,647,646,645,664,663,662,661,660,659,643,636,635,622,614,599,598,597,588,587,571,570,551,539,530,519,507,481,480,452,418,411,0,0,0,0
409,421,498,511,514,527,528,532,555,544,582,581,580,578,591,590,577,576,575,554,542,541,522,521,513,510,509,501,500,495,483,482,458,438,424,419,406,699,0,0,0,0,0,0,0,0
434,441,442,464,463,475,462,474,490,488,489,487,486,473,485,484,472,461,460,440,433,432,431,430,429,420,428,426,413,408,412,404,407,403,401,387,0,0,0,0,0,0,0,0,0,0
322,361,397,391,222,220,385,398,386,395,393,394,392,390,389,388,384,379,378,339,338,321,320,337,336,359,358,357,382,377,375,374,372,370,356,306,354,311,319,0,0,0,0,0,0,0
323,313,307,293,292,284,283,282,274,273,266,265,257,256,242,241,236,235,219,234,233,255,253,252,262,272,280,291,290,289,299,279,278,288,298,297,309,335,0,0,0,0,0,0,0,0
312,264,258,221,203,195,181,176,177,167,168,166,165,163,164,162,154,146,137,142,143,150,153,160,171,170,192,208,218,239,251,261,310,0,0,0,0,0,0,0,0,0,0,0,0,0
80,93,99,107,106,125,124,129,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,240,202,194,155,151,139,118,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
