350,337,333,325,318,308,303,296,295,287,294,276,275,266,260,259,244,243,250,249,241,248,257,0,0,0,0,0,0,0,0,0,0
395,388,382,379,371,367,363,355,345,336,332,324,317,314,302,301,292,291,290,306,0,0,0,0,0,0,0,0,0,0,0,0,0
412,463,411,458,453,408,397,387,386,369,366,361,353,349,343,342,330,329,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,465,464,462,410,456,449,445,443,441,435,430,426,405,392,381,375,347,322,312,289,271,255,239,0,0,0,0,0,0,0,0,0
372,400,466,413,455,451,448,442,439,471,434,431,425,468,417,403,384,352,340,316,299,263,0,0,0,0,0,0,0,0,0,0,0
394,461,457,407,444,438,437,432,429,424,422,420,419,415,401,383,358,327,305,226,0,0,0,0,0,0,0,0,0,0,0,0,0
459,452,446,440,436,428,469,421,467,418,416,402,389,373,359,339,320,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,460,454,447,470,433,427,423,404,396,391,390,380,374,364,346,328,315,298,284,237,246,0,0,0,0,0,0,0,0,0,0,0
398,409,450,406,393,385,376,368,365,360,348,341,334,321,311,288,285,277,270,254,238,232,0,0,0,0,0,0,0,0,0,0,0
356,378,377,370,362,354,344,335,331,323,313,300,286,279,273,272,265,256,247,240,235,234,227,216,214,210,0,0,0,0,0,0,0
307,293,274,258,242,228,219,218,212,206,203,202,193,201,192,191,190,180,179,178,177,189,200,0,0,0,0,0,0,0,0,0,0
309,280,251,245,220,196,185,171,170,157,156,144,130,129,128,143,142,141,140,139,138,136,135,154,151,148,161,174,0,0,0,0,0
268,223,198,186,159,145,123,108,92,91,81,63,61,60,57,56,54,72,71,80,78,89,87,95,106,104,110,125,149,166,0,0,0
261,224,187,133,82,49,41,30,20,19,16,9,15,8,14,26,25,33,39,45,43,51,68,76,85,94,111,126,150,167,0,0,0
231,205,165,103,75,42,36,23,12,11,5,4,3,2,1,7,6,13,24,32,38,44,52,77,86,105,112,152,168,0,0,0,0
283,209,173,124,84,50,37,31,22,21,10,18,17,29,28,27,35,34,40,46,53,69,88,96,113,134,153,169,0,0,0,0,0
319,269,225,188,160,147,109,93,83,74,67,66,48,47,65,64,62,59,58,55,73,70,79,90,97,114,137,472,473,217,211,233,215
297,262,230,208,199,176,172,164,146,158,132,131,122,121,120,119,118,117,116,107,102,101,100,99,98,115,127,155,163,162,175,0,0
338,357,351,326,310,282,281,267,252,236,222,221,213,204,197,195,194,184,183,182,181,0,0,0,0,0,0,0,0,0,0,0,0
