401,348,334,317,301,286,261,243,235,213,203,190,163,147,136,130,124,0,0,0,0,0,0,0,0,0,0,0
384,375,361,349,330,306,287,279,265,244,228,215,197,182,171,172,173,174,0,0,0,0,0,0,0,0,0,0
394,385,376,353,337,325,312,303,280,274,266,262,250,229,217,205,175,191,156,157,141,117,102,118,108,98,79,0
419,414,402,389,379,377,364,351,340,326,307,298,281,264,239,219,192,166,149,138,0,0,0,0,0,0,0,0
400,418,424,437,436,426,420,408,403,391,382,367,358,345,332,315,299,275,252,224,207,185,167,150,139,120,110,453
443,444,445,440,432,421,409,410,397,386,371,355,343,320,295,268,247,221,199,186,159,151,0,0,0,0,0,0
381,448,449,442,433,430,417,406,398,373,360,336,323,308,284,259,241,187,460,457,455,0,0,0,0,0,0,0
425,431,439,446,447,441,434,435,423,412,407,399,388,378,365,352,333,305,285,260,231,168,459,0,0,0,0,0
427,428,429,422,411,405,393,383,374,357,344,328,309,291,255,233,211,177,144,0,0,0,0,0,0,0,0,0
415,416,404,396,387,372,359,356,346,335,324,316,304,290,277,254,232,222,201,178,162,458,0,0,0,0,0,0
395,390,380,368,354,342,327,322,300,296,283,276,269,253,240,226,210,200,188,169,161,145,133,456,0,0,0,0
366,363,341,331,319,314,294,282,267,258,246,225,220,208,193,194,176,160,143,140,125,121,111,104,93,0,0,0
338,339,313,289,263,251,238,230,218,209,206,198,184,165,158,148,142,132,119,109,103,92,83,84,85,452,0,0
321,302,288,271,245,237,216,204,183,164,155,137,131,116,107,101,97,91,78,80,69,62,63,46,64,70,454,0
318,293,257,214,181,154,129,123,106,89,90,82,76,77,68,59,60,51,42,43,35,36,38,45,54,0,0,0
273,227,180,146,114,105,88,74,66,67,49,41,33,20,21,24,14,16,29,30,37,53,0,0,0,0,0,0
297,242,189,135,113,86,72,65,56,47,39,31,18,7,10,5,6,15,28,34,52,0,0,0,0,0,0,0
350,311,270,234,202,153,126,122,94,71,73,55,57,48,40,17,8,3,4,12,1,13,25,26,44,61,0,0
362,292,272,248,195,179,152,134,127,112,99,95,87,81,75,58,50,32,19,9,2,11,22,23,0,0,0,0
347,329,310,278,256,249,212,196,170,128,115,100,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
