234,255,280,317,352,372,401,390,402,416,417,427,429,436,442,444,446,447,455,375,365,457,359,0,0,0,0
452,449,454,450,440,363,354,426,414,410,399,379,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,226,263,310,338,380,400,411,415,433,434,441,443,451,453,448,439,425,409,388,378,371,351,322,300,289,0
156,177,207,247,279,301,323,361,389,391,412,418,428,435,437,430,445,438,431,424,408,398,386,376,366,368,350
163,185,218,256,311,339,393,405,406,407,397,384,364,355,356,349,0,0,0,0,0,0,0,0,0,0,0
157,178,202,235,259,281,292,313,304,318,340,326,341,343,346,329,330,332,334,320,321,0,0,0,0,0,0
126,137,158,180,190,204,219,228,229,249,266,267,283,294,295,296,305,306,299,287,0,0,0,0,0,0,0
169,125,76,82,88,105,110,121,131,139,151,164,171,186,191,210,220,238,252,261,271,272,274,0,0,0,0
119,109,87,73,48,36,53,60,70,78,85,91,101,114,127,141,172,198,212,231,243,245,0,0,0,0,0
1,2,3,15,40,22,42,50,62,79,93,116,142,161,173,187,213,0,0,0,0,0,0,0,0,0,0
145,37,9,13,54,21,24,28,46,64,81,95,107,122,143,162,174,215,0,0,0,0,0,0,0,0,0
5,8,4,19,20,43,25,30,31,34,47,52,68,75,98,118,130,149,168,216,0,0,0,0,0,0,0
38,12,14,18,23,26,27,29,32,33,35,58,65,72,97,108,124,144,155,176,188,217,240,0,0,0,0
112,59,6,7,11,16,41,44,51,45,56,57,63,67,80,96,99,104,123,136,154,175,194,206,0,0,0
146,66,10,17,71,83,39,49,55,61,74,86,94,103,106,111,117,129,135,153,167,184,199,214,233,246,0
69,77,84,92,102,115,133,128,134,148,160,166,183,193,205,225,232,244,254,0,0,0,0,0,0,0,0
100,113,132,140,147,152,165,182,192,196,197,211,221,222,223,224,239,230,242,253,262,273,278,288,291,275,0
120,138,150,181,195,209,237,241,250,251,268,269,270,276,277,284,285,286,297,298,307,308,309,315,316,0,0
159,179,203,208,236,260,265,282,293,314,319,327,328,342,344,345,347,348,331,333,0,0,0,0,0,0,0
189,227,258,264,303,312,325,353,362,374,381,382,383,394,395,396,385,387,377,367,369,357,358,335,337,0,0
170,201,248,257,302,324,373,392,403,404,413,419,420,421,422,423,432,0,0,0,0,0,0,0,0,0,0
