Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 67,371.052845,144,1086.967404,165,406.695697,85,1864.715946,394,19,20.737,32.939,27.417,13.873,66.46546455,6254.781,0.047,1.22,1.969,2.161,1.933,3.013,2.218,33.78,3.849,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 68,371.320595,160,1203.327306,222,482.203579,95,2056.85148,468,20,23.4,36.747,26.451,15.809,67.34687692,7431.472,0.076,1.408,1.761,2.2,1.602,2.937,2.257,37.7,4.535,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 69,484.905219,168,1714.103802,249,637.421919,96,2836.43094,510,19,26.842,48.079,30.416,15.463,73.56992887,10667.74,0.099,1.386,1.996,2.423,1.919,3.285,2.598,47.254,5.448,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 70,427.870506,141,1384.350132,204,483.677205,86,2295.897843,429,19,22.579,42.509,27.096,14.377,66.73247052,8015.415,0.076,1.555,2.111,2.511,1.701,2.986,2.151,41.892,5.557,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 72,407.414189,137,1388.334251,205,477.149539,81,2272.897979,413,19,21.737,41.317,28.279,14.483,68.82931626,7989.035,0.098,1.39,1.995,2.19,1.824,3.138,2.541,37.869,5.862,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 73,370.899106,129,1234.33153,195,489.733643,90,2094.964279,399,18,22.167,40.471,25.336,14.399,63.4274675,7085.159,0.083,1.497,1.973,2.299,1.855,3.024,2.362,38.966,4.66,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 74,592.191424,196,1903.009223,328,715.447222,137,3210.647869,651,20,32.55,49.87,31.517,16.546,77.47676475,12920.134,0.051,1.334,1.683,1.992,1.978,3.311,2.475,50.778,4.713,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 75,549.162478,214,1600.835832,366,677.205719,160,2827.204029,703,20,35.15,48.852,28.519,13.547,68.96195117,9949.685,-0.007,1.281,1.464,1.617,2.148,2.894,2.497,47.952,10.369,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 76,356.427171,114,1279.63794,223,497.708604,95,2133.773715,427,17,25.118,47.548,22.753,12.404,56.71700946,6393.898,0.09,1.567,1.93,2.313,1.835,2.827,2.1,44.184,5.682,0,0,0,0
110522 B1868 Poc1-mCh asynchronous cells_2-sld - 77,336.349725,122,1019.416025,216,411.650018,81,1767.415768,413,19,21.737,36.391,22.599,14.116,58.05920877,5779.366,0.049,1.327,1.731,2.491,1.728,2.619,2.025,35.159,3.867,0,0,0,0
