Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 100,550.928944,181,1901.920414,354,688.077014,106,3140.926372,640,20,32,52.647,29.939,18.883,76.4837617621308,12458.191,0.201,1.418,1.629,2.004,1.809,3.223,2.643,49.286,5.292,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 101,351.214213,135,1148.019232,199,434.606972,79,1933.840417,404,19,21.263,37.268,24.458,14.826,62.7618450723129,6620.745,0.064,1.432,1.934,2.116,1.596,2.892,2.265,36.262,3.517,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 102,436.101105,156,1390.007275,240,542.706197,97,2368.814577,479,19,25.211,47.985,24.609,13.329,60.951362929632,7715.433,0.064,1.423,2.035,2.245,1.567,2.805,2.195,45.099,5.399,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 103,509.913008,169,1505.702926,229,533.22897,82,2548.844904,476,19,25.053,44.012,28.052,16.053,70.6346502841931,9550.99,0.08,1.347,1.935,2.289,1.919,3.268,2.536,41.152,4.654,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 104,377.957253,162,1234.638316,228,404.768654,87,2017.364223,470,19,24.737,40.311,24.702,13.226,60.9473464219289,6395.424,0.073,1.144,1.82,2.186,1.6,2.749,2.061,38.55,6.839,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 105,544.225232,155,1844.389531,289,712.152178,100,3100.766941,528,19,27.789,49.98,31.21,17.524,77.5096844892994,12821.995,0.104,1.727,1.791,2.375,2.084,3.53,2.71,48.279,6.262,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 106,484.695521,149,1615.870772,268,609.890152,86,2710.456445,492,22,22.364,44.829,30.328,16.216,74.4247251185979,10530.381,0.088,1.646,2.013,2.436,1.992,2.917,2.435,41.202,5.298,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 107,551.916159,162,1835.002979,325,717.004937,109,3103.924075,591,22,26.864,49.022,31.031,17.701,78.250889659388,12972.199,0.08,1.503,1.639,2.061,2.087,3.023,2.706,41.982,14.498,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 108,531.691965,165,1696.456887,248,639.347534,99,2867.496386,508,19,26.737,48.884,28.589,16.768,72.4899390812226,11347.611,0.075,1.426,1.966,2.392,1.925,3.338,2.844,47.438,5.59,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells_2-sld - 54,325.851711,132,972.881412,177,354.962123,74,1653.695246,379,19,19.947,33.187,22.239,15.425,59.848010831599,5502.454,0.077,1.177,1.817,1.804,1.788,2.769,2.16,29.974,4.81,0,0,0,0
