Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
100522 B1868 Poc1-mCh asynchronous cells-sld - 16,383.27734,149,1325.445424,213,492.070089,88,2200.792853,439,19,23.105,47.148,22.694,13.53,57.9346903747249,7168.824,0.054,1.5,2.227,2.461,1.287,2.673,2.126,43.664,5.649,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 17,362.690569,131,1155.439946,204,437.203412,90,1955.333927,419,20,20.95,39.452,25.55,11.102,60.6316962876941,5750.073,0.019,1.484,2.043,2.193,1.682,2.62,1.96,36.768,5.7,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 18,500.945562,151,1394.86343,242,490.467022,80,2386.276014,448,20,22.4,46.309,25.507,16.661,63.6293595824821,7584.883,0.264,1.416,2.073,2.544,1.475,2.743,2.06,40.371,7.404,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 19,514.918321,179,1805.049654,273,635.515906,91,2955.483881,534,20,26.7,50.544,29.935,14.662,72.8461465081125,11064.867,0.047,1.402,1.993,2.569,1.648,3.157,2.46,47.542,5.985,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 2,376.91635,143,1383.059724,232,483.660207,87,2243.636281,459,19,24.158,46.756,23.798,13.787,60.2556760983518,7482.817,0.068,1.333,2.031,2.649,1.634,2.75,1.786,42.965,6.353,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 20,447.016382,148,1389.519653,212,511.062562,87,2347.598597,443,20,22.15,43.483,27.102,12.457,65.9930790060033,7661.334,0.003,1.499,2.12,2.419,1.732,2.842,2.064,41.251,5.752,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 21,327.543339,135,1078.205438,223,408.426725,84,1814.175502,438,20,21.9,40.486,22.399,12.583,55.5697931952208,5222.526,0.126,1.433,1.91,2.298,1.417,2.336,1.913,37.258,5.929,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 22,337.728217,138,1001.98061,191,340.504789,76,1680.213616,402,19,21.158,37.759,22.077,11.053,54.4896679825806,4705.42,0.025,1.437,2.014,2.406,1.44,2.467,1.664,35.855,5.198,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 28,618.873486,191,1901.007123,286,759.371502,104,3279.252111,566,20,28.3,49.933,33.05,16.393,80.3933719468838,13178.408,0.07,1.459,1.89,2.431,1.849,3.434,2.724,49.112,4.707,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 29,397.677469,139,1488.396551,241,564.240537,91,2450.314557,461,19,24.263,47.503,28.018,12.666,65.8640164100533,7923.192,0.102,1.531,2.007,2.482,1.409,2.935,2.259,43.988,5.049,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 3,413.478308,146,1258.925152,188,459.694671,82,2132.098131,410,19,21.579,39.917,26.656,14.386,64.451779105402,6884.874,0.141,1.637,2.135,2.526,1.766,2.951,2.12,39.491,4.409,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 30,389.439467,135,1272.626881,227,447.732583,87,2109.798931,440,20,22,45.834,23.883,12.553,58.1612175690722,6470.92,0.101,1.562,2.117,2.161,1.595,2.514,1.916,40.61,4.47,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 31,395.329325,148,1163.757049,218,400.312767,100,1959.399141,460,19,24.211,39.43,24.748,13.022,60.668909859132,6179.468,0.071,1.287,1.828,1.988,1.883,2.67,2.037,38.216,4.959,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 32,480.582275,156,1477.024341,223,595.67489,95,2553.281506,466,20,23.3,47.056,26.205,15.037,65.9027314024596,9190.393,0.053,1.594,2.243,2.288,1.644,2.832,2.416,44.457,6.409,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 33,434.962926,150,1359.315159,196,567.983893,95,2362.261978,432,19,22.737,41.093,27.313,14.423,67.7927306418426,8523.469,-0.006,1.452,2.151,2.181,1.632,3.04,2.507,40.826,4.517,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 34,427.754706,157,1523.922642,211,571.797643,89,2523.474991,452,19,23.789,46.147,28.059,14.188,68.687132120074,8674.817,0.098,1.33,2.195,2.68,1.736,3.028,2.233,44.032,6.115,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 35,522.551804,150,1722.004803,249,677.470932,99,2922.027539,491,19,25.842,50.545,28.599,16.172,71.6688217102285,11129.212,0.091,1.603,2.029,2.57,1.763,3.292,2.425,48.03,7.283,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 36,409.610863,139,1416.323402,228,569.378879,90,2395.313144,452,20,22.6,46.573,25.018,14.592,63.1350782141512,8332.885,0.064,1.528,2.191,2.675,1.689,2.753,2.182,44.217,4.988,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 37,383.581874,138,1280.243349,205,523.16407,95,2186.989293,429,20,21.45,46.426,23.6,13.383,59.138879647493,6728.777,0.124,1.58,2.354,2.363,1.583,2.368,2.048,40.993,9.119,0,0,0,0
