Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 40,357.248362,154,1182.360207,225,420.051309,87,1959.659878,456,21,21.714,41.522,26.922,9.288,61.3633918473769,4326.95,0.204,1.285,1.988,2.09,1.427,2.332,2.113,36.131,9.898,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 41,417.260511,135,1208.504261,205,492.4323,76,2118.197072,413,20,20.65,39.1,26.052,14.989,65.7284511825426,7006.009,0.124,1.473,2.038,2.74,1.977,2.811,2.34,36.929,4.491,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 42,327.947584,140,1054.347664,223,396.251477,90,1778.546725,437,19,23,39.783,22.296,11.943,54.9433594454187,5033.094,0.093,1.3,1.833,2.326,1.553,2.495,2.056,36.876,5.404,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 43,322.434976,129,938.117784,168,367.092439,88,1627.645199,374,19,19.684,34.368,22.024,13.151,56.0909064723021,5031.884,0.035,1.312,2.03,2.194,1.639,2.606,2.085,33.044,5.06,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 44,566.031565,188,1609.340673,325,614.584729,118,2789.956967,611,21,29.095,42.807,30.512,17.024,76.7223341400133,11421.195,0.019,1.404,1.545,1.905,2.319,3.153,2.442,42.324,9.369,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 45,333.682299,127,1145.91139,201,456.997017,79,1936.590706,397,19,20.895,39.529,24.184,13.226,60.863533957319,6138.636,0.073,1.421,1.987,2.532,1.736,2.726,2.251,36.797,4.77,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 46,561.468153,171,1545.489913,288,620.037923,122,2726.995989,573,19,30.158,44.704,29.433,14.017,71.2659652077213,9671.172,-0.001,1.584,1.621,1.851,2.075,3.288,2.504,45.852,4.612,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 47,385.209585,132,1293.949905,244,480.036663,86,2159.196153,444,18,24.667,43.077,24.532,13.051,62.254749813404,7103.081,0.016,1.376,1.815,2.136,1.695,3.008,2.199,40.668,4.471,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 48,434.681967,154,1402.101396,249,500.888504,95,2337.671867,489,19,25.737,45.624,26.908,11.29,64.4196215048572,6911.095,0.048,1.54,1.85,2.157,1.625,2.981,2.415,43.23,4.71,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 49,315.216165,135,1025.802625,195,354.009504,77,1695.028294,401,20,20.05,37.195,23.093,12.3,55.7236705254301,5133.513,0.072,1.346,2.045,2.464,1.282,2.452,1.7,35.52,4.921,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 5,390.216596,151,1253.383051,235,451.086163,83,2094.68581,462,21,22,42.095,24.249,14.614,61.9825634601439,7118.552,0.089,1.36,1.872,2.634,1.48,2.525,1.962,37.389,9.388,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 50,418.585549,150,1259.387031,280,314.735923,70,1992.708503,491,20,24.55,42.143,25.391,13.353,60.3198517897207,6180.273,0.174,1.44,1.64,1.971,1.724,2.584,1.933,37.372,7.93,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 51,425.319321,153,1391.482454,232,527.741598,92,2344.543373,469,20,23.45,42.308,28.004,14.494,68.0189438871558,8208.359,0.087,1.422,1.911,2.361,1.915,2.946,2.25,40.208,6.125,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 6,452.729717,150,1471.446252,225,564.659855,93,2488.835824,459,20,22.95,43.667,28.421,14.953,69.4651143266929,9053.727,0.068,1.421,2.076,2.277,1.866,3.008,2.404,41.032,6.424,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 7,441.438521,164,1391.295093,282,506.439527,97,2339.173141,534,20,26.7,44.352,26.484,14.573,65.7557328781842,8231.833,0.082,1.351,1.604,2.35,1.462,2.853,2.225,41.497,8.78,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 8,442.129416,160,1251.830577,214,448.639478,77,2142.599471,444,20,22.2,37.559,26.168,15.924,66.6714752374782,7886.341,0.038,1.452,1.878,2.336,1.895,2.954,2.209,37.487,3.68,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_1-sld - 9,366.542961,149,1257.084825,230,455.930379,90,2079.558165,460,19,24.211,44.94,24.013,12.674,58.701585610866,6481.555,0.095,1.382,1.947,2.169,1.445,2.71,2.16,41.271,5.047,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 100,249.555501,125,742.731774,176,299.152371,93,1291.439646,380,20,19,26.65,22.863,12.727,56.8018932592949,3666.719,0.097,1.313,1.678,1.629,1.49,2.417,1.871,27.618,3.547,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 101,279.42,112,806.016739,165,285.801011,66,1371.23775,338,19,17.789,36.629,17.6,11.149,45.4292710181565,3598.075,0.044,1.413,2.199,2.363,1.627,2.151,1.96,32.396,5.26,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 103,348.345822,132,1043.311489,194,369.543857,65,1761.201168,388,20,19.4,37.268,23.114,13.025,57.7803590471357,5395.549,0.082,1.583,2.119,2.329,1.771,2.483,1.961,34.791,3.759,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 104,467.78973,131,1573.717586,267,535.154203,84,2576.661519,466,19,24.526,44.149,29.382,16.261,72.9571328523749,9740.052,0.118,1.617,1.815,2.537,2.118,3.328,2.4,42.355,5.07,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 105,327.079619,141,930.5953,199,284.970371,70,1542.64529,403,20,20.15,38.977,19.916,10.345,48.5185252690495,4017.203,0.045,1.403,2.076,2.14,1.245,2.111,1.576,35.381,5.832,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 52,427.132488,148,1402.997742,233,515.164434,92,2345.294664,471,20,23.55,42.286,27.931,14.231,67.9346886733676,8217.555,0.066,1.387,1.929,2.474,1.803,2.933,2.195,40.94,6.498,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 53,326.717547,135,1061.611156,181,412.811032,83,1801.139735,397,19,20.895,38.426,22.858,13.197,57.5608428771865,5625.225,0.073,1.34,2.153,2.254,1.545,2.673,2.024,37.109,3.901,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 54,412.027673,143,1207.252654,208,414.637732,79,2033.918059,425,20,21.25,36.754,26.376,14.633,65.0204888110757,6876.341,0.074,1.442,1.934,1.987,1.952,2.812,2.161,35.666,4.254,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 55,414.426862,148,1417.482869,292,545.210725,99,2377.120456,526,20,26.3,45.585,25.988,13.632,64.4657851747348,8250.286,0.024,1.448,1.71,2.184,1.765,2.728,2.336,42.131,6.578,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 56,274.881163,113,787.820779,167,273.669579,73,1336.371521,346,19,18.211,27.489,22.476,13.528,57.1764566612652,3995.498,0.087,1.303,1.832,1.613,1.889,2.539,2.025,27.282,2.81,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 57,395.939942,136,1223.428968,193,430.159584,90,2049.528494,410,19,21.579,37.861,27.171,13.835,66.0544307945326,6929.801,0.07,1.56,1.996,2.031,1.648,3.043,2.214,37.245,4.978,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 58,324.663335,134,1099.413972,227,414.818584,92,1838.895891,446,19,23.474,43.239,21.865,11.706,53.9347525997718,5223.854,0.098,1.437,1.909,2.139,1.403,2.429,1.929,39.852,4.646,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 59,341.547985,152,1119.486672,221,399.930389,84,1860.965046,451,21,21.476,41.957,22.207,11.842,55.4079761611372,5524.86,0.044,1.429,2.066,2.442,1.272,2.269,1.958,37.838,6.802,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 60,359.002612,131,1370.992592,247,549.558542,90,2279.553746,461,19,24.263,45.548,25.914,13.743,63.7473266294343,7523.173,0.114,1.471,1.892,2.435,1.564,2.845,2.352,42.39,5.093,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 62,417.238882,128,1325.787516,257,492.831678,92,2235.858076,467,19,24.579,41.29,27.064,14.078,65.9909623692857,7687.91,0.067,1.562,1.7,2.373,1.85,2.975,2.368,40.045,4.278,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 63,354.483327,147,1105.710248,192,435.635551,88,1895.829126,421,19,22.158,40.061,23.367,12.762,58.0552573142651,5793.582,0.074,1.331,2.059,2.249,1.312,2.643,1.938,38.831,4.793,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 64,561.371953,162,1879.310201,296,676.430625,105,3117.112779,550,19,28.947,47.99,33.226,17.245,81.0228952511062,12926.9,0.102,1.533,1.701,2.101,2.04,3.622,2.872,46.96,6.639,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 65,294.8312,119,919.21014,204,346.345388,83,1560.386728,397,20,19.85,39.077,19.115,11.697,49.3251877701172,4354.692,0.048,1.47,1.97,2.513,1.303,2.173,1.588,35.677,4.533,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 66,402.547835,135,1164.388001,195,468.498175,82,2035.434011,410,19,21.579,38.978,25.385,13.474,62.3911408113075,6728.905,0.036,1.48,1.985,2.373,1.728,2.923,2.248,37.98,3.825,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 67,339.170814,133,1122.716663,189,440.015204,79,1901.902681,393,19,20.684,39.848,23.195,12.614,57.6068934840234,5797.023,0.05,1.331,2.238,2.063,1.677,2.627,2.107,37.348,5.074,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 68,264.893234,133,848.290713,166,333.912576,80,1447.096523,362,19,19.053,29.566,23.609,12.021,57.7318541949932,4191.534,0.046,1.163,1.941,2.304,1.498,2.588,1.867,30.528,5.889,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 69,298.221689,143,891.389308,189,305.154288,81,1494.765285,392,19,20.632,34.421,20.736,12.234,52.318003002363,4294.025,0.061,1.269,1.998,2.107,1.453,2.436,1.75,34.052,4.056,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 70,382.865489,138,1166.667871,191,443.672283,83,1993.205643,403,20,20.15,37.931,25.042,13.88,62.7822354956618,6712.017,0.028,1.538,2.141,2.56,1.663,2.773,2.039,37.693,4.212,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 71,526.534233,158,1637.248671,281,628.070445,97,2791.853349,500,19,26.316,44.489,30.927,16.745,76.3347191219757,11231.688,0.069,1.384,1.765,2.404,2.292,3.54,2.647,43.605,6.538,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 72,470.996183,151,1430.947277,271,541.232308,102,2443.175768,510,20,25.5,41.64,28.773,15.901,71.0042460070642,9199.37,0.078,1.531,1.609,1.943,2.117,3.059,2.397,39.204,8.298,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 73,329.103415,122,1167.908569,228,441.504171,69,1938.516155,407,20,20.35,42.355,22.024,13.529,56.7249301834178,5787.131,0.124,1.593,2.006,2.641,1.339,2.35,2.036,36.244,6.259,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 74,366.963984,129,1272.632281,205,447.259486,76,2086.855751,408,19,21.474,44.105,23.778,14.91,60.5986355060082,6826.648,0.166,1.517,2.166,2.625,1.478,2.689,2.26,40.15,6.057,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 75,332.187053,144,1107.355331,218,424.341767,90,1863.884151,435,20,21.75,38.854,23.573,14.01,59.5395357077236,5999.356,0.107,1.459,1.972,2.133,1.541,2.603,2.137,36.805,4.131,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 76,306.015557,133,879.620161,156,311.78771,75,1497.423428,355,19,18.684,36.609,19.739,9.775,49.1316825085489,3838.349,-0.038,1.525,2.432,2.718,1.467,2.267,1.712,35.488,3.938,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 77,326.300127,136,1054.958131,201,408.069956,79,1789.328214,412,19,21.684,39.072,22.551,11.786,55.5898905064914,5244.305,0.036,1.398,1.97,2.318,1.593,2.525,1.834,37.553,4.657,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 78,364.779308,139,1200.344742,199,415.427415,82,1980.551465,408,20,20.4,38.402,25.642,13.257,62.5562622632461,6414.116,0.062,1.406,2.158,2.291,1.71,2.71,2.086,36.473,5.713,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 79,304.942875,134,894.50015,203,337.528254,87,1536.971279,406,19,21.368,37.104,19.601,11.737,49.6936861854415,4296.637,0.039,1.271,1.892,2.239,1.453,2.311,1.722,35.091,6.229,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 80,347.518959,129,1155.169478,183,448.48549,77,1951.173927,388,19,20.421,41.822,24.813,12.221,59.0509525156114,5909.778,0.11,1.437,2.291,2.409,1.582,2.592,2.164,38.891,5.276,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 81,361.278003,128,1134.559524,194,426.473699,80,1922.311226,401,20,20.05,39.39,23.246,13.629,58.7781964846339,6215.304,0.049,1.669,2.178,2.519,1.599,2.582,1.994,38.012,5.203,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 82,342.684367,153,1015.241804,212,330.201363,84,1688.127534,407,20,20.35,37.169,22.223,12.453,55.6446389705556,5012.579,0.069,1.465,2.043,2.144,1.709,2.411,1.83,34.963,5.251,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 83,332.629823,125,1139.922406,249,431.68416,87,1904.236389,451,19,23.737,43.732,23.537,10.29,54.5730099761129,4893.962,0.118,1.453,1.821,2.234,1.557,2.453,1.979,39.793,5.814,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 84,367.254049,133,1157.75625,193,441.48541,92,1966.495709,392,19,20.632,32.551,25.995,17.571,69.2548900476965,7228.989,0.071,1.098,1.833,2.115,1.849,2.959,3.113,30.891,9.443,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 85,394.767767,135,1402.368576,301,499.463984,103,2296.600327,527,20,26.35,43.325,27.041,15.217,67.0386900347399,5918.132,0.366,1.489,1.543,1.878,1.86,2.824,2.335,39.349,8.418,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 86,362.509808,164,928.877035,152,342.601571,71,1633.988414,382,19,20.105,31.407,24.311,13.316,60.4706335809977,5157.59,0.031,1.229,2.102,2.32,1.806,2.758,2.086,32.794,3.262,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 87,342.555029,135,979.971787,220,377.806635,90,1700.333451,434,19,22.842,37.326,20.874,13.323,54.0242219409041,5275.657,0.029,1.374,1.789,1.998,1.498,2.472,1.927,36.611,4.667,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 88,347.615309,122,1135.855544,185,433.281069,75,1916.751922,380,19,20,42.825,22.029,12.463,55.4128589953839,5841.471,0.051,1.566,2.306,2.28,1.493,2.566,1.981,38.553,5.236,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 89,414.124234,156,1296.705743,315,443.491505,106,2154.321482,561,20,28.05,43.613,24.252,13.954,60.9142017919583,7254.792,0.061,1.371,1.494,1.814,1.813,2.682,2.118,40.413,5.864,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 90,302.55893,106,1090.567363,181,402.335199,77,1795.461492,360,19,18.947,41.012,24.262,10.901,56.1157641883858,4368.276,0.231,1.511,2.386,2.287,1.337,2.436,1.984,36.884,5.17,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 91,448.350792,151,1348.706458,207,502.948943,95,2300.006193,452,19,23.789,42.798,26.499,14.157,65.4385645823307,7984.49,0.05,1.387,2.085,2.048,1.854,3.018,2.217,41.651,4.502,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 92,506.072393,149,1451.697389,255,524.598466,90,2482.368248,481,20,24.05,41.668,29.234,15.159,71.6105555391955,9130.694,0.056,1.689,1.812,2.428,1.878,3.157,2.288,41.307,4.522,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 93,344.862222,136,1208.425107,228,449.339253,83,2002.626582,436,19,22.947,43.709,23.274,12.537,57.5255242649812,6123.084,0.083,1.379,1.988,2.325,1.587,2.553,2.192,40.098,5.211,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 94,305.002758,118,1033.207617,198,413.78761,86,1751.997985,402,19,21.158,40.403,21.837,11.403,53.5308877124269,4942.368,0.062,1.496,1.998,2.33,1.609,2.421,1.88,37.483,4.985,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 95,381.606705,125,1183.202283,210,447.835284,80,2012.644272,413,19,21.737,40.651,24.755,12.99,60.7389810960657,6413.169,0.063,1.447,1.891,2.563,1.805,2.738,1.976,37.943,5.791,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 96,298.739043,110,1024.300014,190,350.283069,81,1673.322126,376,20,18.8,36.431,23.592,12.383,57.7530873860562,4971.428,0.108,1.525,2.04,2.065,1.834,2.457,1.801,33.913,5.525,0,0,0,0
200522 B1868 Poc1-mCh asynchronous cells_2-sld - 97,398.667405,136,1221.124287,280,449.712348,100,2069.50404,510,21,24.286,39.056,25.775,14.706,64.0264186142808,7157.452,0.077,1.47,1.558,2.029,1.92,2.625,2.068,36.693,7.652,0,0,0,0
