315,304,303,292,282,268,254,238,230,217,212,211,210,0,0,0,0,0,0,0,0,0,0,0
356,352,351,346,333,328,323,314,313,312,308,299,281,264,259,252,248,245,235,223,205,188,137,0
374,372,366,361,360,359,350,345,332,322,306,298,297,286,274,263,244,216,200,183,164,146,130,0
373,390,395,394,393,392,388,383,378,370,363,354,339,321,311,289,273,251,228,208,192,182,0,0
406,405,410,409,403,398,397,381,380,369,348,331,305,279,250,221,203,181,163,153,412,0,0,0
411,408,407,400,391,376,357,343,336,335,317,287,262,242,215,0,0,0,0,0,0,0,0,0
399,389,404,402,401,396,386,379,375,367,353,342,334,330,316,294,271,249,226,413,0,0,0,0
355,371,385,384,387,382,377,368,362,347,344,337,319,301,284,266,256,234,220,197,178,158,0,0
365,364,358,349,338,326,320,310,295,288,280,272,257,241,227,198,179,169,157,145,134,123,0,0
341,340,327,318,296,285,267,258,243,222,204,199,187,180,170,162,152,135,129,122,0,0,0,0
307,290,275,253,236,229,209,201,189,174,172,165,147,139,136,131,119,118,113,110,100,109,0,0
302,291,276,260,237,213,190,184,166,154,140,132,114,111,102,95,94,91,89,88,76,65,74,87
255,214,185,160,141,124,115,103,97,80,70,60,59,52,51,49,38,47,46,45,43,57,75,0
283,261,218,176,148,126,112,84,53,41,31,23,22,14,13,11,20,19,18,36,44,66,0,0
269,240,206,186,150,120,106,93,72,54,34,17,8,6,2,1,4,3,10,21,25,37,58,77
231,194,168,151,121,107,86,64,56,35,24,9,7,5,16,15,12,28,26,48,67,90,0,0
232,195,161,144,128,108,85,73,105,55,42,33,32,30,29,40,39,27,50,68,78,0,0,0
300,278,247,233,207,196,173,156,138,127,117,104,99,92,83,71,63,62,61,69,79,96,101,0
270,246,219,193,177,167,155,149,143,133,125,116,98,82,81,0,0,0,0,0,0,0,0,0
324,325,309,293,277,265,239,224,202,191,175,159,0,0,0,0,0,0,0,0,0,0,0,0
