372,373,378,386,393,405,407,394,396,397,382,381,384,371,362,347,341,337,322,323,305,279,0,0,0,0
349,385,390,398,409,410,403,404,406,408,401,395,389,380,383,370,352,340,321,300,286,272,260,245,224,0
348,363,377,391,392,399,402,400,387,388,379,367,368,360,350,346,336,298,281,268,254,235,0,0,0,0
342,353,364,354,356,357,358,344,345,327,328,319,294,278,258,244,234,223,214,419,0,0,0,0,0,0
316,314,324,331,306,313,315,317,307,308,309,296,290,280,265,249,233,218,207,201,191,0,0,0,0,0
288,303,274,275,269,276,270,263,256,251,252,247,239,0,0,0,0,0,0,0,0,0,0,0,0,0
230,220,210,211,179,187,198,194,188,172,162,155,151,147,0,0,0,0,0,0,0,0,0,0,0,0
181,178,161,154,144,145,135,130,131,126,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,125,110,101,111,88,89,90,97,98,104,123,139,416,0,0,0,0,0,0,0,0,0,0,0,0
93,94,87,72,31,19,20,22,33,38,49,51,63,74,81,412,140,0,0,0,0,0,0,0,0,0
226,164,78,71,45,30,7,8,4,10,6,23,28,34,39,40,42,44,59,68,76,411,413,0,0,0
186,132,86,79,37,27,11,9,5,1,2,3,15,25,35,48,50,52,54,58,65,69,77,84,99,0
133,115,95,46,32,21,12,13,14,24,16,17,26,29,36,43,56,64,67,75,82,85,92,0,0,0
171,149,128,102,96,73,80,61,62,47,41,53,55,57,60,66,70,83,91,100,109,120,414,0,0,0
215,193,182,165,157,150,146,136,129,121,116,117,118,112,103,105,106,107,108,113,114,119,124,127,138,0
238,221,205,199,195,189,183,184,173,174,166,167,163,158,156,152,153,148,141,142,143,137,0,0,0,0
283,264,261,257,242,248,243,240,231,232,222,217,212,206,208,202,192,180,176,169,170,0,0,0,0,0
289,291,292,284,285,277,271,266,267,259,253,250,241,236,229,219,209,196,204,197,177,160,159,417,415,0
318,325,326,332,333,338,334,335,329,320,310,311,312,297,299,293,282,273,262,255,246,237,225,185,0,0
343,355,365,366,374,359,375,376,369,361,351,339,330,304,302,295,287,0,0,0,0,0,0,0,0,0
