138,114,90,78,65,2,21,23,3,26,68,80,93,102,0,0,0,0,0,0,0,0,0,0,0,0
248,207,199,193,170,151,147,137,121,89,91,100,101,105,116,122,127,133,148,0,0,0,0,0,0,0
289,246,236,215,206,198,192,168,169,160,152,161,162,163,164,172,173,179,200,174,183,194,201,204,217,0
288,287,286,279,272,264,259,254,255,256,249,247,237,238,239,240,241,242,208,209,185,202,436,437,438,0
330,329,328,331,323,324,317,318,306,307,308,299,280,274,260,257,251,443,440,441,442,444,0,0,0,0
369,370,379,389,380,381,382,376,371,367,361,357,339,319,310,290,281,267,0,0,0,0,0,0,0,0
250,273,337,360,383,401,405,412,417,418,419,413,414,407,408,398,385,372,363,350,332,314,447,0,0,0
265,338,366,397,406,420,426,427,429,432,430,431,428,421,416,410,402,390,378,364,341,326,446,0,0,0
356,384,403,409,415,422,423,424,425,411,404,400,393,387,374,365,351,334,320,304,282,0,0,0,0,0
303,340,358,362,377,386,391,392,399,394,395,396,388,375,368,359,355,343,335,321,311,301,0,0,0,0
300,309,313,325,333,342,346,347,352,353,354,348,349,344,345,336,327,322,315,316,312,305,302,293,276,0
228,261,266,268,269,275,283,284,291,292,294,295,296,297,298,285,277,278,271,270,263,262,258,253,252,0
218,211,212,213,214,219,230,231,232,233,243,244,245,234,235,225,226,224,223,210,222,221,220,0,0,0
195,184,165,166,155,149,157,158,167,176,177,178,180,181,190,191,189,188,187,197,196,203,205,445,0,0
153,142,108,82,83,75,77,88,99,113,120,125,126,130,131,136,140,146,145,150,159,175,186,0,0,0
141,107,70,17,50,20,55,58,60,62,63,76,64,86,87,98,103,112,119,129,135,144,156,434,435,439
117,13,37,39,42,16,46,48,52,54,73,56,57,59,61,85,96,97,111,118,134,143,0,0,0,0
182,106,9,69,29,31,14,35,38,40,43,45,47,49,53,72,74,84,95,110,124,128,433,0,0,0
115,66,5,67,27,79,7,11,30,33,34,36,15,41,1,44,18,19,51,71,81,94,109,123,139,154
171,132,104,92,22,24,25,4,6,28,8,10,12,32,0,0,0,0,0,0,0,0,0,0,0,0
