148,123,106,94,93,63,60,50,49,58,57,79,90,114,211,190,173,153,152,139,137,150,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,265,237,215,195,179,178,160,159,147,145,144,158,157,169,184,191,212,227,274,290,272,258,243,224,223,222,221,219,218,217,241,255,269,279,735,739,746,0,0,0,0,0,0,0,0
311,302,299,295,287,276,253,251,234,249,233,263,262,284,283,292,301,308,323,332,322,321,320,319,318,317,315,314,328,327,326,339,338,368,386,400,408,749,736,741,742,738,743,0,0,0
384,383,382,381,380,367,379,378,366,377,365,364,363,362,376,375,373,390,397,398,406,360,389,396,395,405,404,403,414,413,412,410,420,409,419,418,428,427,426,425,753,751,750,752,754,0
482,481,494,493,492,491,502,490,488,487,478,468,467,466,465,464,463,443,442,460,485,500,506,517,530,529,526,524,515,514,505,504,503,499,498,484,0,0,0,0,0,0,0,0,0,0
555,573,606,605,604,632,648,646,645,643,628,625,614,601,582,569,550,540,523,513,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,548,590,611,589,610,609,599,597,587,586,560,545,544,532,519,507,486,652,672,684,711,682,708,707,706,705,704,703,702,701,662,642,613,593,0,0,0,0,0,0,0,0,0,0,0
495,538,591,623,661,697,724,721,720,718,692,691,678,657,619,607,595,578,558,520,585,633,676,687,715,685,683,669,649,647,629,644,666,665,664,663,624,758,0,0,0,0,0,0,0,0
496,568,612,699,731,729,727,725,723,722,719,717,716,690,677,635,596,559,594,618,634,653,689,688,686,714,713,712,710,709,681,680,668,667,627,626,615,759,757,0,0,0,0,0,0,0
472,539,641,700,730,698,728,726,696,695,694,693,679,658,636,620,579,577,617,656,655,654,675,674,673,671,670,651,650,631,630,616,603,602,584,583,551,0,0,0,0,0,0,0,0,0
436,512,581,592,600,640,639,638,660,659,637,622,621,608,598,588,580,534,508,518,531,543,557,556,576,575,574,572,571,570,554,553,552,542,541,528,527,525,516,756,0,0,0,0,0,0
483,497,511,522,537,549,567,566,565,564,563,562,561,547,546,536,535,521,509,501,489,480,469,444,430,429,441,440,439,438,462,461,459,458,457,456,455,454,453,477,476,475,474,473,452,0
385,391,399,417,424,423,435,434,451,450,449,448,471,470,447,446,445,433,432,431,422,416,415,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,305,304,303,312,310,309,325,324,337,336,335,356,355,354,353,352,351,350,349,348,334,333,374,361,347,346,345,344,343,342,341,340,359,358,372,371,370,388,387,393,392,402,401,411,421
267,254,216,208,199,198,197,189,188,187,186,196,194,207,206,214,236,235,252,250,264,275,286,285,294,293,291,282,273,260,247,246,245,244,259,257,271,281,289,298,300,307,316,330,357,369
161,135,108,95,82,69,67,66,65,64,80,92,115,122,134,146,170,177,185,193,213,229,225,175,167,143,142,141,140,154,165,183,203,210,220,256,288,313,329,745,748,747,0,0,0,0
176,132,113,102,77,76,75,87,100,117,128,138,151,182,202,242,270,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,71,52,34,30,25,24,22,28,32,39,59,62,91,105,121,156,192,228,131,112,78,55,47,46,44,54,53,73,99,111,127,149,172,201,240,280,733,744,0,0,0,0,0,0,0
125,51,35,19,11,10,8,4,7,6,13,15,26,38,56,103,133,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,171,107,70,33,18,14,9,5,3,2,1,12,20,31,36,48,89,155,205,248,226,174,119,88,61,45,43,42,41,72,97,96,126,163,181,200,239,732,0,0,0,0,0,0,0
180,124,81,68,40,29,23,17,16,21,27,37,104,120,231,232,230,261,204,166,130,118,101,86,74,85,84,83,98,110,116,136,162,209,238,268,296,737,0,0,0,0,0,0,0,0
