40,38,48,50,63,70,85,104,121,129,137,157,175,186,209,213,220,221,0,0,0,0,0,0,0,0,0,0,0,0
32,39,42,54,61,66,74,86,99,110,131,138,151,165,176,183,192,205,215,419,236,231,229,238,251,243,0,0,0,0
11,12,16,25,34,49,56,65,71,79,92,100,118,134,149,168,184,193,210,216,0,0,0,0,0,0,0,0,0,0
26,3,1,5,9,19,27,44,57,113,146,169,189,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,15,8,4,6,2,7,14,20,30,37,46,59,81,97,114,132,152,177,198,222,0,0,0,0,0,0,0,0,0
10,13,21,29,36,47,52,76,90,101,122,150,171,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,28,45,58,72,89,115,133,153,170,190,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,41,31,23,24,33,35,51,67,80,93,112,139,159,180,211,237,255,0,0,0,0,0,0,0,0,0,0,0,0
43,55,75,88,107,111,125,145,179,188,206,228,248,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,53,64,73,91,106,130,148,158,167,187,204,214,235,250,263,272,284,292,0,0,0,0,0,0,0,0,0,0,0
62,69,84,103,124,144,156,174,182,203,219,234,247,262,271,277,291,299,305,313,324,325,306,300,307,0,0,0,0,0
83,95,120,173,196,230,246,261,270,282,296,303,310,320,334,336,343,345,353,355,326,278,279,0,0,0,0,0,0,0
127,163,212,259,287,318,331,341,362,363,373,374,376,377,378,369,314,422,280,257,0,0,0,0,0,0,0,0,0,0
119,141,172,200,232,249,258,274,295,317,339,360,371,384,385,387,400,401,402,404,406,395,381,0,0,0,0,0,0,0
126,160,195,224,244,265,273,301,316,349,327,329,350,358,382,396,398,407,408,410,412,414,416,417,405,393,380,368,308,285
140,155,199,217,239,266,281,294,315,328,351,359,370,383,397,399,409,411,413,415,418,391,394,356,0,0,0,0,0,0
135,161,191,218,245,252,269,286,309,330,340,361,372,386,388,389,403,390,367,354,338,293,0,0,0,0,0,0,0,0
116,142,162,181,201,225,240,260,275,288,302,319,332,342,352,364,365,375,366,348,421,256,0,0,0,0,0,0,0,0
108,98,102,82,94,109,128,147,166,185,202,226,233,241,253,267,276,289,297,311,333,335,344,346,337,0,0,0,0,0
60,68,78,96,117,123,136,143,154,164,178,197,208,227,242,254,268,283,290,298,304,312,321,322,323,347,0,0,0,0
