207,217,237,246,245,252,264,268,267,276,313,312,263,311,254,298,297,289,288,287,273,261,251,0,0,0,0,0,0,0,0,0,0,0,0,0
164,176,163,175,181,185,190,194,198,206,205,212,211,216,228,227,244,243,236,226,224,213,208,202,201,192,189,174,171,184,188,187,195,0,0,0
142,122,107,121,117,106,116,115,114,113,120,119,131,140,151,162,180,179,161,160,159,158,157,156,155,154,149,0,0,0,0,0,0,0,0,0
95,80,70,69,57,56,52,55,68,67,66,74,78,85,91,90,84,89,88,93,99,105,112,135,144,148,167,183,531,0,0,0,0,0,0,0
53,41,35,22,21,20,19,18,17,29,28,25,33,32,40,39,44,48,54,77,82,97,111,125,134,147,525,0,0,0,0,0,0,0,0,0
49,31,30,8,7,6,1,4,3,2,10,9,13,5,23,36,42,46,92,102,124,522,523,529,0,0,0,0,0,0,0,0,0,0,0,0
94,75,51,45,38,34,27,26,16,15,12,11,14,24,37,43,47,50,71,76,81,96,108,133,146,166,528,0,0,0,0,0,0,0,0,0
132,100,86,79,65,64,63,62,61,60,59,58,73,72,83,87,98,101,104,103,110,109,123,143,152,165,524,526,527,0,0,0,0,0,0,0
141,139,130,129,118,128,127,126,138,137,136,145,150,153,173,172,170,169,168,178,177,182,186,191,200,0,0,0,0,0,0,0,0,0,0,0
199,193,197,196,204,203,210,209,215,214,223,222,235,242,250,249,248,247,241,240,239,234,233,232,221,220,219,218,231,230,229,0,0,0,0,0
256,255,262,275,274,279,290,296,310,309,323,322,321,320,319,328,318,317,308,307,295,294,286,285,278,272,270,266,265,259,258,253,0,0,0,0
280,299,337,364,374,382,392,401,400,404,414,413,412,411,424,423,422,421,409,403,397,389,380,379,370,359,352,351,341,334,325,316,303,292,282,277
356,367,432,431,451,464,463,472,484,482,481,480,479,478,477,470,469,456,454,446,438,420,402,394,388,377,357,340,331,324,302,291,532,0,0,0
384,405,445,452,465,473,495,494,501,505,516,514,511,510,508,520,507,503,499,498,489,475,467,461,448,437,406,387,368,349,332,315,293,533,0,0
330,375,418,459,497,496,502,506,519,518,517,521,515,513,512,509,504,500,490,476,468,455,449,439,407,395,369,350,333,304,283,0,0,0,0,0
347,386,419,436,453,460,466,474,488,487,493,492,491,486,485,483,471,462,458,457,447,440,408,396,378,358,342,326,305,284,271,260,530,0,0,0
301,339,348,376,385,393,417,416,435,434,433,444,443,442,441,430,429,415,428,427,426,425,410,399,398,391,390,381,372,371,360,353,335,327,306,0
238,257,269,281,300,314,329,338,346,345,355,366,344,365,383,354,363,373,362,361,343,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
