136,160,187,227,256,266,284,295,285,300,301,313,314,315,317,302,0,0,0,0,0,0,0,0,0
130,161,169,188,203,220,236,237,243,257,258,269,270,271,259,246,230,247,239,250,273,420,0,0,0
104,88,92,103,93,110,121,145,154,171,180,193,205,214,222,223,0,0,0,0,0,0,0,0,0
74,59,48,56,67,75,85,94,105,115,131,146,155,173,174,182,195,207,289,272,305,296,0,0,0
123,73,40,41,50,57,64,68,78,89,96,106,116,126,148,175,189,196,216,232,261,0,0,0,0
84,34,19,20,21,23,26,36,52,60,69,80,98,117,140,156,184,209,419,240,251,421,0,0,0
49,35,14,11,4,6,16,22,33,43,45,62,81,90,113,127,142,166,176,198,422,0,0,0,0
32,15,5,1,2,3,9,13,17,30,38,46,58,71,86,109,128,151,418,0,0,0,0,0,0
12,7,8,10,18,31,39,47,55,66,83,87,101,120,129,152,157,200,0,0,0,0,0,0,0
24,25,27,28,29,37,44,54,63,72,77,91,102,122,135,144,159,178,191,211,0,0,0,0,0
51,42,53,61,65,70,82,99,114,119,134,143,158,177,186,192,201,212,226,234,0,0,0,0,0
76,79,97,107,112,118,133,141,150,167,168,185,190,199,210,218,225,233,242,254,264,263,277,276,0
95,100,132,149,165,183,197,208,217,224,241,252,253,262,275,282,283,292,293,299,298,0,0,0,0
111,125,147,164,181,215,231,248,249,260,274,281,290,291,297,306,307,320,321,329,330,331,322,308,423
139,163,206,245,280,288,304,326,335,336,337,344,345,346,348,350,360,361,362,352,340,328,0,0,0
138,162,194,221,244,268,286,316,325,343,367,375,387,388,389,391,394,395,380,381,370,359,351,339,0
124,153,172,204,229,267,324,355,365,384,400,411,414,415,416,417,405,407,408,396,379,369,349,338,319
213,235,278,312,341,364,371,382,397,398,399,409,410,412,413,402,404,406,393,378,368,358,347,327,0
179,219,255,309,332,333,353,363,372,373,374,383,385,386,401,403,390,392,376,377,318,0,0,0,0
137,170,202,228,265,294,310,323,311,334,342,354,356,366,357,0,0,0,0,0,0,0,0,0,0
